{us:gov:federal:hc}HireDate,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}DOB,{us:gov:federal:hc}Gender,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MaritalStatus,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}AdjBasicPay,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}BargUnitStatus,{us:gov:federal:hc}BasicPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OccSeries,{us:gov:federal:hc}OrgCode,{us:gov:federal:hc}POI,{us:gov:federal:hc}PON,{us:gov:federal:hc}PRD,{us:gov:federal:hc}PayBasis,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayTableID,{us:gov:federal:hc}PosApprText,{us:gov:federal:hc}PosNumber,{us:gov:federal:hc}PosOrgTitle,{us:gov:federal:hc}PosTitle,{us:gov:federal:hc}SSPPayTableID,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}TODHrs,{us:gov:federal:hc}Tenure,{us:gov:federal:hc}TotalSalary,{us:gov:federal:hc}WorkSchedule,{us:gov:federal:hc}AnnuitantInd,{us:gov:federal:hc}FEGLI,{us:gov:federal:hc}RetirementPlan,{us:gov:federal:hc}SCDLeave,{us:gov:federal:hc}SCDRetirement,{us:gov:federal:hc}TypeOfAppt,{us:gov:federal:hc}VetPref,{us:gov:federal:hc}VetPrefRIF,{us:gov:federal:hc}TSPAcctTypeCode,{us:gov:federal:hc}TSPAmt,{us:gov:federal:hc}TSPEffectiveDate,{us:gov:federal:hc}TSPRate,{us:gov:federal:hc}TSPSCD,{us:gov:federal:hc}TSPStatusCode,{us:gov:federal:hc}TSPStatusDate,{us:gov:federal:hc}FEHBCode
2021-01-31,00001550,1985-09-18,F,ADam,Four,S,NMN,02,310001003,Yes,Montgomery,4979 Main St,36106,AL,002,US,0,GS28,8888,170000,100490003,N,00,0301,ISE,1155,047 000016,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,3,170000,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,200,2021-01-31,0,2021-01-31,Y,2021-01-31,AS1
2021-01-31,00001553,1963-05-01,M,Exavier,One,M,NMN,02,310001010,No,Acosta,1176 Main St,15501,PA,002,US,0,GS28,8888,199300,240030003,E,II,0340,ISE,1155,047 000016,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001195,Administrator,Administrator,0000,00,40,3,199300,F,9,90,KF,2021-01-31,2021-01-31,20,1,N,1,180,2021-01-31,0,2021-01-31,Y,2021-01-31,AJ2
2021-01-31,00001554,1980-04-14,F,EXavier,Two,M,NMN,02,310001011,Yes,Annapolis,3968 Main St,21401,MD,002,US,0,GS28,8888,183300,240030003,E,III,0340,ISE,1155,047 000016,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001196,Administrator,Administrator,0000,00,40,3,183300,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,200,2021-01-31,0,2021-01-31,Y,2021-01-31,F52
2021-01-31,00001555,1968-01-09,M,EXavier,Three,M,NMN,02,310001012,Yes,Arlington,3761 Main St,22203,VA,002,US,0,GS28,8888,172500,510100013,E,IV,0340,ISE,1155,047 000016,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001197,Administrator,Administrator,0000,00,40,3,172500,F,9,V3,KF,2021-01-31,2021-01-31,20,1,N,1,375,2021-01-31,0,2021-01-31,Y,2021-01-31,E35
2021-01-31,00001556,1975-01-12,F,EXavier,Four,S,NMN,02,310001013,Yes,Millville,3127 Main St,19967,DE,002,US,23092,GS28,1231,93907,426540101,N,14,1102,IS,1155,047 000016,0,PA,GS,0000,192.P00M3100.60.11.000..,90001238,Supervisory Contract Specialist,Supervisory Contract Specialis,0000,01,40,1,116999,F,9,J4,KF,2020-01-19,2020-01-19,10,1,N,1,0,2021-01-31,5,2020-01-19,A,2021-01-31,Z24
2021-01-31,00001557,1984-08-26,M,EXavier,Five,S,NMN,02,310001014,Yes,South Charleston,1384 Main St,25309,WV,002,US,0,GS28,8888,161700,540170081,E,V,0340,ISE,1155,047 000016,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001198,Administrator,Administrator,0000,00,40,3,161700,F,9,D0,K,2021-01-31,2021-01-31,20,1,N,1,380,2021-01-31,0,2021-01-31,Y,2021-01-31,F51
2021-01-31,00001558,2003-08-11,F,WaG,One,M,NMN,02,310001025,Yes,Brunswick,4921 Main St,40114,ME,002,US,0,GS28,8888,18.56,330430015,N,04,3603,ISE,1155,047 000016,0,PH,WG,0087,105.S00I0321.50.11.H40..,90001199,Mason,Mason,0087,01,40,3,18.56,F,9,Q4,KF,2021-01-31,2021-01-31,20,1,N,1,258,2021-01-31,0,2021-01-31,Y,2021-01-31,EP2
2021-01-31,00001559,1970-10-09,M,WaG,Two,M,NMN,02,310001026,Yes,Portland,3127 Main St,97239,OR,002,US,0,GS28,8888,14.85,411650051,N,01,3603,ISE,1155,047 000016,0,PH,WG,0112,105.S00I0321.50.11.H40..,90001200,Mason,Mason,0112,02,40,3,14.85,F,9,M5,K,2021-01-31,2021-01-31,20,1,N,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,575
2021-01-31,00001560,1963-05-01,F,WaG,Five,M,NMN,02,310001029,Yes,New York,4617 Main St,10028,NY,002,US,0,GS28,8888,23.04,364170061,N,03,3603,ISE,1155,047 000016,0,PH,WG,0094,105.S00I0321.50.11.H40..,90001203,Mason,Mason,0094,05,40,3,23.04,F,9,F5,K,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,QA2
2021-01-31,00001561,1985-06-08,M,WaG,Four,S,NMN,02,310001028,Yes,Chevy Chase,4581 Main St,20815,MD,002,US,0,GS28,8888,23.41,240130031,N,05,3603,ISE,1155,047 000016,0,PH,WG,0027,105.S00I0321.50.11.H40..,90001202,Mason,Mason,0027,04,40,3,23.41,F,9,I3,KF,2021-01-31,2021-01-31,20,1,N,1,190,2021-01-31,0,2021-01-31,Y,2021-01-31,B61
2021-01-31,00001562,1975-08-20,F,WaG,Three,M,NMN,02,310001027,Yes,Manassas,1487 Main St,20109,VA,002,US,0,GS28,8888,17.25,510040510,N,02,3603,ISE,1155,047 000016,0,PH,WG,0027,105.S00I0321.50.11.H40..,90001201,Mason,Mason,0027,03,40,3,17.25,F,9,E3,KR,2021-01-31,2021-01-31,20,1,N,1,154,2021-01-31,0,2021-01-31,Y,2021-01-31,AS3
2021-01-31,00001563,2001-09-08,F,WiLl,Two,S,NMN,02,310001031,Yes,Tampa,1576 Main St,33602,FL,002,US,0,GS28,8888,17.81,122950057,N,04,4102,ISE,1155,047 000016,0,PH,WL,0035,105.S00I0321.50.11.H40..,90001205,Painter Leader,Painter Leader,0035,02,40,3,17.81,F,9,X0,KF,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,KK1
2021-01-31,00001564,1959-03-23,M,WiLl,Five,M,NMN,02,310001034,Yes,Charleston,1780 Main Street,29412,SC,002,US,0,GS28,8888,26.71,511001059,N,05,4102,ISE,1155,047 000016,0,PH,WL,0027,105.S00I0321.50.11.H40..,90001208,Painter Leader,Painter Leader,0027,05,40,3,26.71,F,9,J3,K,2021-01-31,2021-01-31,20,1,N,1,72,2021-01-31,0,2021-01-31,Y,2021-01-31,JS5
2021-01-31,00001565,1982-07-05,M,Will,One,S,NMN,02,310001030,Yes,New Orleans,3505 Main St,70130,LA,002,US,0,GS28,8888,14.35,221690071,N,03,4102,ISE,1155,047 000016,0,PH,WL,0061,105.S00I0321.50.11.H40..,90001204,Painter Leader,Painter Leader,0061,01,40,3,14.35,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,F51
2021-01-31,00001566,2000-11-12,M,WiLl,Three,M,NMN,02,310001032,Yes,McLean,4271 Main St,22101,VA,002,US,0,GS28,8888,14.69,122950057,N,02,4102,ISE,1155,047 000016,0,PH,WL,0035,105.S00I0321.50.11.H40..,90001206,Painter Leader,Painter Leader,0035,03,40,3,14.69,F,9,M1,KF,2021-01-31,2021-01-31,20,1,N,1,58,2021-01-31,0,2021-01-31,Y,2021-01-31,B62
2021-01-31,00001567,2001-01-17,F,WiLl,Four,M,NMN,02,310001033,Yes,Montgomery,4075 Main St,36106,AL,002,US,0,GS28,8888,13.27,121510031,N,01,4102,ISE,1155,047 000016,0,PH,WL,0030,105.S00I0321.50.11.H40..,90001207,Painter Leader,Painter Leader,0030,04,40,3,13.27,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,150,2021-01-31,0,2021-01-31,Y,2021-01-31,Y82
2021-01-31,00001568,1960-08-01,F,Wes,One,S,NMN,02,310001035,Yes,New Orleans,3644 Main St,70130,LA,002,US,0,GS28,8888,20.3,221690071,N,03,2604,ISE,1155,047 000016,0,PH,WS,0061,105.S00I0321.50.11.H40..,90001209,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0061,01,40,1,20.3,F,9,C0,1,1982-01-05,1982-01-05,10,1,N,1,320,2021-01-31,0,,Y,2021-01-31,F51
2021-01-31,00001569,1985-02-03,M,WeS,Two,S,NMN,02,310001036,No,Atlantic City,1827 Main St,84019,NJ,002,US,0,GS28,8888,31.9,340480005,N,05,2604,ISE,1155,047 000016,0,PH,WS,0115,105.S00I0321.50.11.H40..,90001210,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0115,02,32,3,31.9,P,9,E2,K,2021-01-31,2021-01-31,20,1,N,1,350,2021-01-31,0,2021-01-31,Y,2021-01-31,ZZY
2021-01-31,00001570,1990-12-21,F,WeS,Three,S,NMN,02,310001037,Yes,Newark,4880 Main St,19702,DE,002,US,0,GS28,8888,28.11,340480005,N,01,2604,ISE,1155,047 000016,0,PH,WS,0115,105.S00I0321.50.11.H40..,90001211,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0115,03,40,3,28.11,F,9,N5,KF,2021-01-31,2021-01-31,20,1,N,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,P34
2021-01-31,00001571,1969-05-27,M,WeS,Four,M,NMN,02,310001038,Yes,Arlington,2039 Main St,22203,VA,002,US,0,GS28,8888,28,510100013,N,02,2604,ISE,1155,047 000016,0,PH,WS,0027,105.S00I0321.50.11.H40..,90001212,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0027,04,40,3,28,F,9,Q5,KR,2021-01-31,2021-01-31,20,1,N,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,JP2
2021-01-31,00001572,1983-12-08,F,WeS,Five,S,NMN,02,310001039,Yes,Johnson City,2039 Main St,37601,TN,002,US,0,GS28,8888,28.85,470400065,N,04,2604,ISE,1155,047 000016,0,PH,WS,0125,105.S00I0321.50.11.H40..,90001213,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0125,05,40,3,28.85,F,9,U5,K,2021-01-31,2021-01-31,20,1,N,1,160,2021-01-31,0,2021-01-31,Y,2021-01-31,F51
2021-01-31,00001573,1996-02-08,M,Carl,One,S,NMN,02,310001040,Yes,Colorado Spring,2781 Main St,80904,CO,002,US,10800,GS28,8888,172500,180380105,E,01,0905,ISE,1155,047 000016,0,PA,CA,0000,105.S00I0321.50.11.H40..,90001214,Chairperson,Chairperson,0000,00,40,3,183300,F,9,C0,KF,2021-01-31,2021-01-31,20,1,N,1,320,2021-01-31,0,2021-01-31,Y,2021-01-31,KT1
2021-01-31,00001574,1988-12-31,F,Edward,One,M,NMN,02,310001045,Yes,Charleston,1305 Main St,25301,WV,002,US,0,GS28,8888,59.89,540480039,E,00,0301,ISE,1155,047 000016,0,PH,ED,0000,105.S00I0321.50.11.H40..,90001217,Expert,Expert,0000,00,40,3,59.89,F,9,90,KF,2021-01-31,2021-01-31,20,1,N,1,300,2021-01-31,0,2021-01-31,Y,2021-01-31,132
2021-01-31,00001575,1991-05-14,M,Gladys,One,S,NMN,02,310001050,Yes,Alexandria,4541 Main St,22314,VA,002,US,18141,GS28,8888,64284,511011059,E,10,1811,ISE,1155,047 000016,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001218,Criminal Investigator,Criminal Investigator,0000,08,40,3,82425,F,9,F5,KF,2021-01-31,2021-01-31,20,1,N,1,140,2021-01-31,0,2021-01-31,Y,2021-01-31,F52
2021-01-31,00001576,1982-03-25,F,Gladys,Two,M,NMN,02,310001051,Yes,Indianapolis,4840 Main St,46278,IN,002,US,7449,GS28,8888,45896,182210097,E,08,1811,ISE,1155,047 000016,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001219,Criminal Investigator,Criminal Investigator,0000,02,40,3,53345,F,9,T0,KR,2021-01-31,2021-01-31,20,1,N,1,160,2021-01-31,0,2021-01-31,Y,2021-01-31,JS5
2021-01-31,00001577,1998-05-05,M,Gladys,Three,S,NMN,02,310001052,Yes,Sioux Falls,2629 Main St,57106,SD,002,US,4962,GS28,8888,32286,462450099,E,03,1811,ISE,1155,047 000016,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001220,Criminal Investigator,Criminal Investigator,0000,05,40,3,37248,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,80,2021-01-31,0,2021-01-31,Y,2021-01-31,G51
2021-01-31,00001578,1994-01-15,M,Gladys,Five,M,NMN,02,310001054,Yes,Washington,4716 Main St,20018,DC,002,US,17339,GS28,8888,61443,110010001,E,09,1811,ISE,1155,047 000016,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001222,Criminal Investigator,Criminal Investigator,0000,10,40,3,78782,F,9,D0,KF,2021-01-31,2021-01-31,20,1,N,1,65,2021-01-31,0,2021-01-31,Y,2021-01-31,225
2021-01-31,00001579,1985-05-01,F,Gladys,Four,S,NMN,02,310001053,Yes,Kearney,4395 Main St,68845,NE,002,US,6077,GS28,8888,39540,310510109,E,05,1811,ISE,1155,047 000016,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001221,Criminal Investigator,Criminal Investigator,0000,03,40,3,45617,F,9,C0,KF,2021-01-31,2021-01-31,20,1,N,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,H43
2021-01-31,00001581,1985-02-14,M,Slade,One,M,NMN,02,310001060,Yes,Springfield,2323 Main St,22150,VA,002,US,0,GS28,8888,135000,425010041,E,16,0343,ISE,1155,047 000016,0,PA,SL,0000,105.S00I0321.50.11.H40..,90001225,Senior Data Advisor,Senior Data Advisor,0000,00,40,3,135000,F,9,X0,KR,2021-01-31,2021-01-31,20,1,N,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,113
2021-01-31,00001582,1994-10-29,M,Slade,Three,S,NMN,02,310001062,Yes,Jonesboro,3684 Main St,72401,AR,002,US,0,GS28,8888,140000,274760053,E,17,0343,ISE,1155,047 000016,0,PA,SL,0000,105.S00I0321.50.11.H40..,90001226,Senior Data Advisor,Senior Data Advisor,0000,00,40,3,140000,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,Z26
2021-01-31,00001583,1976-03-16,F,Slade,Two,S,NMN,02,310001061,Yes,Mechanicsburg,1038 Main St,17050,PA,002,US,0,GS28,8888,145000,425010041,E,16,0343,ISE,1155,047 000016,0,PA,SL,0000,105.S00I0321.50.11.H40..,90001225,Senior Data Advisor,Senior Data Advisor,0000,00,40,3,145000,F,9,D0,KF,2021-01-31,2021-01-31,20,1,N,1,60,2021-01-31,0,2021-01-31,Y,2021-01-31,N61
2021-01-31,00001584,1988-08-18,F,Slade,Four,M,NMN,02,310001063,Yes,Minneapolis,4602 Main St,55407,MN,002,US,0,GS28,8888,150000,512305059,E,00,0343,ISE,1155,047 000016,0,PA,SL,0000,105.S00I0321.50.11.H40..,90001224,Senior Data Advisor,Senior Data Advisor,0000,00,40,3,150000,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,131
2021-01-31,00001585,2000-03-15,M,Slade,Five,S,NMN,02,310001064,Yes,Rockville,2411 Main St,20850,MD,002,US,0,GS28,8888,180000,512305059,E,00,0343,ISE,1155,047 000016,0,PA,SL,0000,105.S00I0321.50.11.H40..,90001224,Senior Data Advisor,Senior Data Advisor,0000,00,40,3,180000,F,9,B0,KR,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,Y81
2021-01-31,00001586,1968-01-09,M,Greyson,Two,M,NMN,02,310001016,Yes,Arlington,3174 Main St,22203,VA,002,US,19263,GS28,8888,82425,274760053,E,12,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001228,Communications Specialist,Communications Specialist,0000,08,40,3,101688,F,9,C0,KF,2021-01-31,2021-01-31,20,1,N,1,300,2021-01-31,0,2021-01-31,Y,2021-01-31,2G6
2021-01-31,00001587,1989-01-12,F,GreySon,Three,S,NMN,02,310001017,Yes,Lakeland,4275 Main St,33803,FL,002,US,29176,GS28,8888,128870,120771011,E,15,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001229,Communications Specialist,Communications Specialist,0000,06,40,3,158046,F,9,U1,KF,2021-01-31,2021-01-31,20,1,N,1,220,2021-01-31,0,2021-01-31,Y,2021-01-31,EA1
2021-01-31,00001588,1969-08-26,M,GreySon,Four,S,NMN,02,310001018,Yes,Long Beach,4148 Main St,11561,NY,002,US,15618,GS28,8888,66829,274760053,E,12,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001228,Communications Specialist,Communications Specialist,0000,01,40,1,82447,F,9,W0,K,2020-01-19,2020-01-19,10,1,N,1,"1,000",2021-01-31,0,2020-01-19,Y,2021-01-31,804
2021-01-31,00001589,2000-07-09,M,GreySon,Eight,S,NMN,02,310001022,Yes,Washington,1302 Main St,20018,DC,002,US,12758,GS28,8888,45210,512510059,E,07,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001230,Communications Specialist,Communications Specialist,0000,07,40,3,57968,F,9,A0,K,2021-01-31,2021-01-31,40,1,N,1,330,2021-01-31,0,2021-01-31,Y,2021-01-31,JP1
2021-01-31,00001590,1994-04-16,F,GreySon,Nine,M,NMN,02,310001023,Yes,Sterling,2755 Main St,20166,VA,002,US,11129,GS28,8888,47619,274760053,N,09,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001193,Communications Specialist,Communications Specialist,0000,02,40,3,58748,F,9,U1,KR,2021-01-31,2021-01-31,40,1,N,1,125,2021-01-31,0,2021-01-31,Y,2021-01-31,B61
2021-01-31,00001591,1995-02-27,F,GreySon,Five,M,NMN,02,310001019,Yes,Vienna,1116 Main St,22182,VA,002,US,11340,GS28,8888,40186,512510059,E,07,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001230,Communications Specialist,Communications Specialist,0000,03,40,2,51526,F,9,Y3,KF,2020-01-19,2020-01-19,38,1,N,1,300,2021-01-31,0,2020-01-19,Y,2021-01-31,L92
2021-01-31,00001592,1955-12-04,M,GreySon,Ten,S,NMN,02,310001024,Yes,Kensigton,4429 Main St,20895,MD,002,US,11141,GS28,8888,72487,510468550,E,11,1001,ISE,1155,047 000016,0,PA,GS,0000,105.S00I0321.50.11.H40..,90001231,Communications Specialist,Communications Specialist,0000,10,40,1,83628,F,9,B0,1,1978-04-18,1978-04-18,10,1,N,1,125,2021-01-31,0,,Y,2021-01-31,B61
2021-01-31,00001595,1978-01-04,F,CArl,Four,S,NMN,02,310001043,Yes,Kansas City,1759 Main St,64118,MO,002,US,10800,GS28,8888,172500,180380105,E,01,0905,ISE,1155,047 000016,0,PA,CA,0000,105.S00I0321.50.11.H40..,90001214,Chairperson,Chairperson,0000,00,40,3,183300,F,9,L0,K,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,471
2021-01-31,00001596,1985-05-01,F,CArl,Two,M,NMN,02,310001041,Yes,Houston,2432 Main St,77056,TX,002,US,10800,GS28,8888,172500,180380105,E,01,0905,ISE,1155,047 000016,0,PA,CA,0000,105.S00I0321.50.11.H40..,90001214,Chairperson,Chairperson,0000,00,40,3,183300,F,9,A0,KR,2021-01-31,2021-01-31,20,1,N,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,EP3
