{us:gov:federal:hc}DayCode,{us:gov:federal:hc}HrsWrk,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}SSPTimeCode,{us:gov:federal:hc}TimeCode,{us:gov:federal:hc}WeekCode
4,8,118,1037,1037,2
5,8,119,1037,1037,2
6,8,120,1037,1037,2
2,8,121,1037,1037,1
3,8,122,1037,1037,1
4,8,123,1037,1037,1
5,8,124,1037,1037,1
6,8,125,1037,1037,1
2,8,126,1037,1037,2
3,8,127,1037,1037,2
4,8,128,1037,1037,2
5,8,129,1037,1037,2
6,8,130,1037,1037,2
2,8,131,1037,1037,1
3,8,132,1037,1037,1
4,8,133,1037,1037,1
5,8,134,1037,1037,1
6,8,135,1037,1037,1
2,8,136,1037,1037,2
3,8,137,1037,1037,2
4,8,138,1037,1037,2
5,8,139,1037,1037,2
6,8,140,1037,1037,2
2,8,141,1037,1037,1
3,8,142,1037,1037,1
4,8,143,1037,1037,1
5,8,144,1037,1037,1
6,8,145,1037,1037,1
2,8,146,1037,1037,2
3,8,147,1037,1037,2
4,8,148,1037,1037,2
5,8,149,1037,1037,2
6,8,150,1037,1037,2
2,8,151,1037,1037,1
3,8,152,1037,1037,1
4,8,153,1037,1037,1
5,8,154,1037,1037,1
6,8,155,1037,1037,1
2,8,156,1037,1037,2
3,8,157,1037,1037,2
4,8,158,1037,1037,2
5,8,159,1037,1037,2
6,8,160,1037,1037,2
2,8,161,1037,1037,1
3,8,162,1037,1037,1
4,8,163,1037,1037,1
5,8,164,1037,1037,1
6,8,165,1037,1037,1
2,8,166,1037,1037,2
3,8,167,1037,1037,2
4,8,168,1037,1037,2
5,8,169,1037,1037,2
6,8,170,1037,1037,2
2,8,171,1037,1037,1
3,8,172,1037,1037,1
4,8,173,1037,1037,1
5,8,174,1037,1037,1
6,8,175,1037,1037,1
2,8,176,1037,1037,2
3,8,177,1037,1037,2
4,8,178,1037,1037,2
5,8,179,1037,1037,2
6,8,180,1037,1037,2
2,8,181,1037,1037,1
3,8,182,1037,1037,1
4,8,183,1037,1037,1
5,8,184,1037,1037,1
6,8,185,1037,1037,1
2,8,186,1037,1037,2
3,8,187,1037,1037,2
4,8,188,1037,1037,2
5,8,189,1037,1037,2
6,8,190,1037,1037,2
2,8,191,1037,1037,1
3,8,192,1037,1037,1
4,8,193,1037,1037,1
5,8,194,1037,1037,1
6,8,195,1037,1037,1
2,8,196,1037,1037,2
3,8,197,1037,1037,2
4,8,198,1037,1037,2
5,8,199,1037,1037,2
6,8,200,1037,1037,2
2,8,201,1037,1037,1
3,8,202,1037,1037,1
4,8,203,1037,1037,1
5,8,204,1037,1037,1
6,8,205,1037,1037,1
2,8,206,1037,1037,2
3,8,207,1037,1037,2
4,8,208,1037,1037,2
5,8,209,1037,1037,2
6,8,210,1037,1037,2
2,8,211,1037,1037,1
3,8,212,1037,1037,1
4,8,213,1037,1037,1
5,8,214,1037,1037,1
6,8,215,1037,1037,1
2,8,216,1037,1037,2
3,8,217,1037,1037,2
4,8,218,1037,1037,2
5,8,219,1037,1037,2
6,8,220,1037,1037,2
2,8,221,1037,1037,1
3,8,222,1037,1037,1
4,8,223,1037,1037,1
5,8,224,1037,1037,1
6,8,225,1037,1037,1
2,8,226,1037,1037,2
3,8,227,1037,1037,2
4,8,228,1037,1037,2
5,8,229,1037,1037,2
6,8,230,1037,1037,2
2,8,231,1037,1037,1
3,8,232,1037,1037,1
4,8,233,1037,1037,1
5,8,234,1037,1037,1
6,8,235,1037,1037,1
2,8,236,1037,1037,2
3,8,237,1037,1037,2
4,8,238,1037,1037,2
5,8,239,1037,1037,2
6,8,240,1037,1037,2
3,8,241,1037,1037,1
4,8,242,1037,1037,1
5,8,243,1037,1037,1
3,8,244,1037,1037,2
4,8,245,1037,1037,2
5,8,246,1037,1037,2
2,8,247,1037,1037,1
3,8,248,1037,1037,1
4,8,249,1037,1037,1
5,8,250,1037,1037,1
6,8,251,1037,1037,1
2,8,252,1037,1037,2
3,8,253,1037,1037,2
4,8,254,1037,1037,2
5,8,255,1037,1037,2
6,8,256,1037,1037,2
2,8,257,1037,1037,1
3,8,258,1037,1037,1
4,8,259,1037,1037,1
5,8,260,1037,1037,1
6,8,261,1037,1037,1
2,8,262,1037,1037,2
3,8,263,1037,1037,2
4,8,264,1037,1037,2
5,8,265,1037,1037,2
6,8,266,1037,1037,2
2,8,267,1037,1037,1
3,8,268,1037,1037,1
4,8,269,1037,1037,1
5,8,270,1037,1037,1
6,8,271,1037,1037,1
2,8,272,1037,1037,2
3,8,273,1037,1037,2
4,8,274,1037,1037,2
5,8,275,1037,1037,2
6,8,276,1037,1037,2
2,8,277,1037,1037,1
3,8,278,1037,1037,1
4,8,279,1037,1037,1
5,8,280,1037,1037,1
6,8,281,1037,1037,1
2,8,282,1037,1037,2
3,8,283,1037,1037,2
4,8,284,1037,1037,2
5,8,285,1037,1037,2
6,8,286,1037,1037,2
2,8,287,1037,1037,1
3,8,288,1037,1037,1
4,8,289,1037,1037,1
5,8,290,1037,1037,1
6,8,291,1037,1037,1
2,8,292,1037,1037,2
3,8,293,1037,1037,2
4,8,294,1037,1037,2
5,8,295,1037,1037,2
6,8,296,1037,1037,2
2,8,297,1037,1037,1
3,8,298,1037,1037,1
4,8,299,1037,1037,1
5,8,300,1037,1037,1
6,8,301,1037,1037,1
2,8,302,1037,1037,2
3,8,303,1037,1037,2
4,8,304,1037,1037,2
5,8,305,1037,1037,2
6,8,306,1037,1037,2
2,8,307,1037,1037,1
3,8,308,1037,1037,1
4,8,309,1037,1037,1
5,8,310,1037,1037,1
6,8,311,1037,1037,1
2,8,312,1037,1037,2
3,8,313,1037,1037,2
4,8,314,1037,1037,2
5,8,315,1037,1037,2
6,8,316,1037,1037,2
2,8,317,1037,1037,1
3,8,318,1037,1037,1
4,8,319,1037,1037,1
5,8,320,1037,1037,1
6,8,321,1037,1037,1
2,8,322,1037,1037,2
3,8,323,1037,1037,2
4,8,324,1037,1037,2
5,8,325,1037,1037,2
6,8,326,1037,1037,2
2,8,327,1037,1037,1
3,8,328,1037,1037,1
4,8,329,1037,1037,1
5,8,330,1037,1037,1
6,8,331,1037,1037,1
2,8,332,1037,1037,2
3,8,333,1037,1037,2
4,8,334,1037,1037,2
5,8,335,1037,1037,2
6,8,336,1037,1037,2
2,8,337,1037,1037,1
3,8,338,1037,1037,1
4,8,339,1037,1037,1
5,8,340,1037,1037,1
6,8,341,1037,1037,1
2,8,342,1037,1037,2
3,8,343,1037,1037,2
4,8,344,1037,1037,2
5,8,345,1037,1037,2
6,8,346,1037,1037,2
2,8,347,1037,1037,1
3,8,348,1037,1037,1
4,8,349,1037,1037,1
5,8,350,1037,1037,1
6,8,351,1037,1037,1
2,8,352,1037,1037,2
3,8,353,1037,1037,2
4,8,354,1037,1037,2
5,8,355,1037,1037,2
6,8,356,1037,1037,2
2,8,357,1037,1037,1
3,8,358,1037,1037,1
4,8,359,1037,1037,1
5,8,360,1037,1037,1
6,8,361,1037,1037,1
2,8,362,1037,1037,2
3,8,363,1037,1037,2
4,8,364,1037,1037,2
5,8,365,1037,1037,2
6,8,366,1037,1037,2
2,8,367,1037,1037,1
3,8,368,1037,1037,1
4,8,369,1037,1037,1
5,8,370,1037,1037,1
6,8,371,1037,1037,1
2,8,372,1037,1037,2
3,8,373,1037,1037,2
4,8,374,1037,1037,2
5,8,375,1037,1037,2
6,8,376,1037,1037,2
2,8,377,1037,1037,1
3,8,378,1037,1037,1
4,8,379,1037,1037,1
5,8,380,1037,1037,1
6,8,381,1037,1037,1
2,8,382,1037,1037,2
3,8,383,1037,1037,2
4,8,384,1037,1037,2
5,8,385,1037,1037,2
6,8,386,1037,1037,2
2,8,387,1037,1037,1
3,8,388,1037,1037,1
4,8,389,1037,1037,1
5,8,390,1037,1037,1
6,8,391,1037,1037,1
2,8,392,1037,1037,2
3,8,393,1037,1037,2
4,8,394,1037,1037,2
5,8,395,1037,1037,2
6,8,396,1037,1037,2
2,8,397,1037,1037,1
3,8,398,1037,1037,1
4,8,399,1037,1037,1
5,8,400,1037,1037,1
6,8,401,1037,1037,1
2,8,402,1037,1037,2
3,8,403,1037,1037,2
4,8,404,1037,1037,2
5,8,405,1037,1037,2
6,8,406,1037,1037,2
2,8,407,1037,1037,1
3,8,408,1037,1037,1
4,8,409,1037,1037,1
5,8,410,1037,1037,1
6,8,411,1037,1037,1
2,8,412,1037,1037,2
3,8,413,1037,1037,2
4,8,414,1037,1037,2
5,8,415,1037,1037,2
6,8,416,1037,1037,2
2,8,417,1037,1037,1
3,8,418,1037,1037,1
4,8,419,1037,1037,1
5,8,420,1037,1037,1
6,8,421,1037,1037,1
2,8,422,1037,1037,2
3,8,423,1037,1037,2
4,8,424,1037,1037,2
5,8,425,1037,1037,2
6,8,426,1037,1037,2
2,8,427,1037,1037,1
3,8,428,1037,1037,1
4,8,429,1037,1037,1
5,8,430,1037,1037,1
6,8,431,1037,1037,1
2,8,432,1037,1037,2
3,8,433,1037,1037,2
4,8,434,1037,1037,2
5,8,435,1037,1037,2
6,8,436,1037,1037,2
2,8,437,1037,1037,1
3,8,438,1037,1037,1
4,8,439,1037,1037,1
5,8,440,1037,1037,1
6,8,441,1037,1037,1
2,8,442,1037,1037,2
3,8,443,1037,1037,2
4,8,444,1037,1037,2
5,8,445,1037,1037,2
6,8,446,1037,1037,2
2,8,447,1037,1037,1
3,8,448,1037,1037,1
4,8,449,1037,1037,1
5,8,450,1037,1037,1
6,8,451,1037,1037,1
2,8,452,1037,1037,2
3,8,453,1037,1037,2
4,8,454,1037,1037,2
5,8,455,1037,1037,2
6,8,456,1037,1037,2
2,8,457,1037,1037,1
3,8,458,1037,1037,1
4,8,459,1037,1037,1
5,8,460,1037,1037,1
6,8,461,1037,1037,1
2,8,462,1037,1037,2
3,8,463,1037,1037,2
4,8,464,1037,1037,2
5,8,465,1037,1037,2
6,8,466,1037,1037,2
2,8,467,1037,1037,1
3,8,468,1037,1037,1
4,8,469,1037,1037,1
5,8,470,1037,1037,1
6,8,471,1037,1037,1
2,8,472,1037,1037,2
3,8,473,1037,1037,2
4,8,474,1037,1037,2
5,8,475,1037,1037,2
6,8,476,1037,1037,2
2,8,477,1037,1037,1
3,8,478,1037,1037,1
4,8,479,1037,1037,1
5,8,480,1037,1037,1
6,8,481,1037,1037,1
2,8,482,1037,1037,2
3,8,483,1037,1037,2
4,8,484,1037,1037,2
5,8,485,1037,1037,2
6,8,486,1037,1037,2
2,8,487,1037,1037,1
3,8,488,1037,1037,1
4,8,489,1037,1037,1
5,8,490,1037,1037,1
6,8,491,1037,1037,1
2,8,492,1037,1037,2
3,8,493,1037,1037,2
4,8,494,1037,1037,2
5,8,495,1037,1037,2
6,8,496,1037,1037,2
2,8,497,1037,1037,1
3,8,498,1037,1037,1
4,8,499,1037,1037,1
5,8,500,1037,1037,1
6,8,501,1037,1037,1
2,8,502,1037,1037,2
3,8,503,1037,1037,2
4,8,504,1037,1037,2
5,8,505,1037,1037,2
6,8,506,1037,1037,2
2,8,507,1037,1037,1
3,8,508,1037,1037,1
4,8,509,1037,1037,1
5,8,510,1037,1037,1
6,8,511,1037,1037,1
2,8,512,1037,1037,2
3,8,513,1037,1037,2
4,8,514,1037,1037,2
5,8,515,1037,1037,2
6,8,516,1037,1037,2
2,8,517,1037,1037,1
3,8,518,1037,1037,1
4,8,519,1037,1037,1
5,8,520,1037,1037,1
6,8,521,1037,1037,1
2,8,522,1037,1037,2
3,8,523,1037,1037,2
4,8,524,1037,1037,2
5,8,525,1037,1037,2
6,8,526,1037,1037,2
2,8,527,1037,1037,1
3,8,528,1037,1037,1
4,8,529,1037,1037,1
5,8,530,1037,1037,1
6,8,531,1037,1037,1
2,8,532,1037,1037,2
3,8,533,1037,1037,2
4,8,534,1037,1037,2
5,8,535,1037,1037,2
6,8,536,1037,1037,2
2,8,537,1037,1037,1
3,8,538,1037,1037,1
4,8,539,1037,1037,1
5,8,540,1037,1037,1
6,8,541,1037,1037,1
2,8,542,1037,1037,2
3,8,543,1037,1037,2
4,8,544,1037,1037,2
5,8,545,1037,1037,2
6,8,546,1037,1037,2
2,8,547,1037,1037,1
3,8,548,1037,1037,1
4,8,549,1037,1037,1
5,8,550,1037,1037,1
6,8,551,1037,1037,1
2,8,552,1037,1037,2
3,8,553,1037,1037,2
4,8,554,1037,1037,2
5,8,555,1037,1037,2
6,8,556,1037,1037,2
2,8,557,1037,1037,1
3,8,558,1037,1037,1
4,8,559,1037,1037,1
5,8,560,1037,1037,1
6,8,561,1037,1037,1
2,8,562,1037,1037,2
3,8,563,1037,1037,2
4,8,564,1037,1037,2
5,8,565,1037,1037,2
6,8,566,1037,1037,2
2,8,567,1037,1037,1
3,8,568,1037,1037,1
4,8,569,1037,1037,1
5,8,570,1037,1037,1
6,8,571,1037,1037,1
2,8,572,1037,1037,2
3,8,573,1037,1037,2
4,8,574,1037,1037,2
5,8,575,1037,1037,2
6,8,576,1037,1037,2
2,8,577,1037,1037,1
3,8,578,1037,1037,1
4,8,579,1037,1037,1
5,8,580,1037,1037,1
6,8,581,1037,1037,1
2,8,582,1037,1037,2
3,8,583,1037,1037,2
4,8,584,1037,1037,2
5,8,585,1037,1037,2
6,8,586,1037,1037,2
2,8,587,1037,1037,1
3,8,588,1037,1037,1
4,8,589,1037,1037,1
5,8,590,1037,1037,1
2,8,591,1037,1037,2
3,8,592,1037,1037,2
4,8,593,1037,1037,2
5,8,594,1037,1037,2
2,8,595,1037,1037,1
3,8,596,1037,1037,1
4,8,597,1037,1037,1
5,8,598,1037,1037,1
6,8,599,1037,1037,1
2,8,600,1037,1037,2
3,8,601,1037,1037,2
4,8,602,1037,1037,2
5,8,603,1037,1037,2
6,8,604,1037,1037,2
