{us:gov:federal:hc}PAEffDate,{us:gov:federal:hc}PAEffSeqNum,{us:gov:federal:hc}RecordID,{us:gov:federal:hc}AlternatePersonID,{us:gov:federal:hc}DOB,{us:gov:federal:hc}Gender,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MaritalStatus,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}SSN,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}LAC1Code,{us:gov:federal:hc}LAC1Desc,{us:gov:federal:hc}NOACode,{us:gov:federal:hc}NOADesc,{us:gov:federal:hc}SSPNOACode,{us:gov:federal:hc}AdjBasicPay,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}BargUnitStatus,{us:gov:federal:hc}BasicPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OccSeries,{us:gov:federal:hc}OrgCode,{us:gov:federal:hc}POI,{us:gov:federal:hc}PRD,{us:gov:federal:hc}PayBasis,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayTableID,{us:gov:federal:hc}PosApprText,{us:gov:federal:hc}PosNumber,{us:gov:federal:hc}PosOrgTitle,{us:gov:federal:hc}PosTitle,{us:gov:federal:hc}SSPPayTableID,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}TODHrs,{us:gov:federal:hc}TotalSalary,{us:gov:federal:hc}WorkSchedule,{us:gov:federal:hc}AnnuitantInd,{us:gov:federal:hc}FEGLI,{us:gov:federal:hc}RetirementPlan,{us:gov:federal:hc}SCDLeave,{us:gov:federal:hc}SCDRetirement,{us:gov:federal:hc}TypeOfAppt,{us:gov:federal:hc}VetPref,{us:gov:federal:hc}VetPrefRIF,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}PAApprovalDate,{us:gov:federal:hc}PAAuthorizerTitle,{us:gov:federal:hc}PersonSignatureInd,{us:gov:federal:hc}TSPAcctTypeCode,{us:gov:federal:hc}TSPAmt,{us:gov:federal:hc}TSPEffectiveDate,{us:gov:federal:hc}TSPRate,{us:gov:federal:hc}TSPSCD,{us:gov:federal:hc}TSPStatusCode,{us:gov:federal:hc}TSPStatusDate,{us:gov:federal:hc}FEHBCode,{us:gov:federal:hc}AgencyUseRemarks,{us:gov:federal:hc}AgencyUseRemarksCode,{us:gov:federal:hc}SSPRemarksCode,{us:gov:federal:hc}NTEDate
2021-01-31,11,00001550,00001550,1985-09-18,F,ADam,Four,S,NMN,310001003,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,170000,100490003,N,00,0301,ISE,1155,0,PA,AD,0000,105.S00I0321.50.11.H40..,90001194,Assistant Human Resources Officer,Assistant Human Resources Offi,0000,00,40,170000,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,Montgomery,4979 Main St,36106,AL,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,200,2021-01-31,0,2021-01-31,Y,2021-01-31,AS1,,,,
2021-01-31,11,00001553,00001553,1963-05-01,M,Exavier,One,M,NMN,310001010,No,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,199300,240030003,E,II,0340,ISE,1155,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001195,Administrator,Administrator,0000,00,40,199300,F,9,90,KF,2021-01-31,2021-01-31,20,1,N,Acosta,1176 Main St,15501,PA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,180,2021-01-31,0,2021-01-31,Y,2021-01-31,AJ2,,,,
2021-01-31,11,00001554,00001554,1980-04-14,F,EXavier,Two,M,NMN,310001011,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,183300,240030003,E,III,0340,ISE,1155,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001196,Administrator,Administrator,0000,00,40,183300,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,Annapolis,3968 Main St,21401,MD,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,200,2021-01-31,0,2021-01-31,Y,2021-01-31,F52,,,,
2021-01-31,11,00001555,00001555,1968-01-09,M,EXavier,Three,M,NMN,310001012,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,172500,510100013,E,IV,0340,ISE,1155,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001197,Administrator,Administrator,0000,00,40,172500,F,9,V3,KF,2021-01-31,2021-01-31,20,1,N,Arlington,3761 Main St,22203,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,375,2021-01-31,0,2021-01-31,Y,2021-01-31,E35,,,,
2021-01-31,11,00001556,00001556,1975-01-12,F,EXavier,Four,S,NMN,310001013,Yes,KTM,Reg 315.501.or agy auth.,130,Transfer,130,23092,GS28,1231,93907,426540101,N,14,1102,IS,1155,0,PA,GS,0000,192.P00M3100.60.11.000..,90001238,Supervisory Contract Specialist,Supervisory Contract Specialis,0000,01,40,116999,F,9,J4,KF,2020-01-19,2020-01-19,10,1,N,Millville,3127 Main St,19967,DE,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,0,2021-01-31,5,2020-01-19,A,2021-01-31,Z24,Subject to satisfactory report of investigation as to suitability for employment,K18,Z25,
2021-01-31,11,00001557,00001557,1984-08-26,M,EXavier,Five,S,NMN,310001014,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,161700,540170081,E,V,0340,ISE,1155,0,PA,EX,0000,105.S00I0321.50.11.H40..,90001198,Administrator,Administrator,0000,00,40,161700,F,9,D0,K,2021-01-31,2021-01-31,20,1,N,South Charleston,1384 Main St,25309,WV,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,380,2021-01-31,0,2021-01-31,Y,2021-01-31,F51,,,,
2021-01-31,11,00001558,00001558,2003-08-11,F,WaG,One,M,NMN,310001025,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,18.6,330430015,N,04,3603,ISE,1155,0,PH,WG,0087,105.S00I0321.50.11.H40..,90001199,Mason,Mason,0087,01,40,18,F,9,Q4,KF,2021-01-31,2021-01-31,20,1,N,Brunswick,4921 Main St,40114,ME,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,258,2021-01-31,0,2021-01-31,Y,2021-01-31,EP2,,,,
2021-01-31,11,00001559,00001559,1970-10-09,M,WaG,Two,M,NMN,310001026,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,14.8,411650051,N,01,3603,ISE,1155,0,PH,WG,0112,105.S00I0321.50.11.H40..,90001200,Mason,Mason,0112,02,40,14,F,9,M5,K,2021-01-31,2021-01-31,20,1,N,Portland,3127 Main St,97239,OR,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,575,,,,
2021-01-31,11,00001560,00001560,1963-05-01,F,WaG,Five,M,NMN,310001029,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,23,364170061,N,03,3603,ISE,1155,0,PH,WG,0094,105.S00I0321.50.11.H40..,90001203,Mason,Mason,0094,05,40,23,F,9,F5,K,2021-01-31,2021-01-31,20,1,N,New York,4617 Main St,10028,NY,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,QA2,,,,
2021-01-31,11,00001561,00001561,1985-06-08,M,WaG,Four,S,NMN,310001028,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,23.4,240130031,N,05,3603,ISE,1155,0,PH,WG,0027,105.S00I0321.50.11.H40..,90001202,Mason,Mason,0027,04,40,23,F,9,I3,KF,2021-01-31,2021-01-31,20,1,N,Chevy Chase,4581 Main St,20815,MD,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,190,2021-01-31,0,2021-01-31,Y,2021-01-31,B61,,,,
2021-01-31,11,00001562,00001562,1975-08-20,F,WaG,Three,M,NMN,310001027,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,17.2,510040510,N,02,3603,ISE,1155,0,PH,WG,0027,105.S00I0321.50.11.H40..,90001201,Mason,Mason,0027,03,40,17,F,9,E3,KR,2021-01-31,2021-01-31,20,1,N,Manassas,1487 Main St,20109,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,154,2021-01-31,0,2021-01-31,Y,2021-01-31,AS3,,,,
2021-01-31,11,00001563,00001563,2001-09-08,F,WiLl,Two,S,NMN,310001031,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,17.8,122950057,N,04,4102,ISE,1155,0,PH,WL,0035,105.S00I0321.50.11.H40..,90001205,Painter Leader,Painter Leader,0035,02,40,17,F,9,X0,KF,2021-01-31,2021-01-31,20,1,N,Tampa,1576 Main St,33602,FL,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,100,2021-01-31,0,2021-01-31,Y,2021-01-31,KK1,,,,
2021-01-31,11,00001564,00001564,1959-03-23,M,WiLl,Five,M,NMN,310001034,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,26.7,511001059,N,05,4102,ISE,1155,0,PH,WL,0027,105.S00I0321.50.11.H40..,90001208,Painter Leader,Painter Leader,0027,05,40,26,F,9,J3,K,2021-01-31,2021-01-31,20,1,N,Charleston,1780 Main Street,29412,SC,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,72,2021-01-31,0,2021-01-31,Y,2021-01-31,JS5,,,,
2021-01-31,11,00001565,00001565,1982-07-05,M,Will,One,S,NMN,310001030,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,14.3,221690071,N,03,4102,ISE,1155,0,PH,WL,0061,105.S00I0321.50.11.H40..,90001204,Painter Leader,Painter Leader,0061,01,40,14,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,New Orleans,3505 Main St,70130,LA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,F51,,,,
2021-01-31,11,00001566,00001566,2000-11-12,M,WiLl,Three,M,NMN,310001032,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,14.7,122950057,N,02,4102,ISE,1155,0,PH,WL,0035,105.S00I0321.50.11.H40..,90001206,Painter Leader,Painter Leader,0035,03,40,14,F,9,M1,KF,2021-01-31,2021-01-31,20,1,N,McLean,4271 Main St,22101,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,58,2021-01-31,0,2021-01-31,Y,2021-01-31,B62,,,,
2021-01-31,11,00001567,00001567,2001-01-17,F,WiLl,Four,M,NMN,310001033,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,13.3,121510031,N,01,4102,ISE,1155,0,PH,WL,0030,105.S00I0321.50.11.H40..,90001207,Painter Leader,Painter Leader,0030,04,40,13,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,Montgomery,4075 Main St,36106,AL,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,150,2021-01-31,0,2021-01-31,Y,2021-01-31,Y82,,,,
2021-01-31,11,00001568,00001568,1960-08-01,F,Wes,One,S,NMN,310001035,Yes,KTM,Reg 315.501.or agy auth.,130,Transfer,130,0,GS28,8888,20.3,221690071,N,03,2604,ISE,1155,0,PH,WS,0061,105.S00I0321.50.11.H40..,90001209,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0061,01,40,20,F,9,C0,1,1982-01-05,1982-01-05,10,1,N,New Orleans,3644 Main St,70130,LA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,320,2021-01-31,0,,Y,2021-01-31,F51,TSP transferred with the following percent/amount being deducted -  5%,M40,Z24,
2021-01-31,11,00001569,00001569,1985-02-03,M,WeS,Two,S,NMN,310001036,No,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,31.9,340480005,N,05,2604,ISE,1155,0,PH,WS,0115,105.S00I0321.50.11.H40..,90001210,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0115,02,32,31,P,9,E2,K,2021-01-31,2021-01-31,20,1,N,Atlantic City,1827 Main St,84019,NJ,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,350,2021-01-31,0,2021-01-31,Y,2021-01-31,P34,,,,
2021-01-31,11,00001570,00001570,1990-12-21,F,WeS,Three,S,NMN,310001037,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,28.1,340480005,N,01,2604,ISE,1155,0,PH,WS,0115,105.S00I0321.50.11.H40..,90001211,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0115,03,40,28,F,9,N5,KF,2021-01-31,2021-01-31,20,1,N,Newark,4880 Main St,19702,DE,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,P34,,,,
2021-01-31,11,00001571,00001571,1969-05-27,M,WeS,Four,M,NMN,310001038,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,28,510100013,N,02,2604,ISE,1155,0,PH,WS,0027,105.S00I0321.50.11.H40..,90001212,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0027,04,40,28,F,9,Q5,KR,2021-01-31,2021-01-31,20,1,N,Arlington,2039 Main St,22203,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,JP2,,,,
2021-01-31,11,00001572,00001572,1983-12-08,F,WeS,Five,S,NMN,310001039,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,28.9,470400065,N,04,2604,ISE,1155,0,PH,WS,0125,105.S00I0321.50.11.H40..,90001213,Electronics Mechanic Supervisor,Electronics Mechanic Superviso,0125,05,40,28,F,9,U5,K,2021-01-31,2021-01-31,20,1,N,Johnson City,2039 Main St,37601,TN,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,160,2021-01-31,0,2021-01-31,Y,2021-01-31,F51,,,,
2021-01-31,11,00001573,00001573,1996-02-08,M,Carl,One,S,NMN,310001040,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,10800,GS28,8888,172500,180380105,E,01,0905,ISE,1155,0,PA,CA,0000,105.S00I0321.50.11.H40..,90001214,Chairperson,Chairperson,0000,00,40,183300,F,9,C0,KF,2021-01-31,2021-01-31,20,1,N,Colorado Spring,2781 Main St,80904,CO,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,320,2021-01-31,0,2021-01-31,Y,2021-01-31,KT1,,,,
2021-01-31,11,00001574,00001574,1988-12-31,F,Edward,One,M,NMN,310001045,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,59.9,540480039,E,00,0301,ISE,1155,0,PH,ED,0000,105.S00I0321.50.11.H40..,90001217,Expert,Expert,0000,00,40,59,F,9,90,KF,2021-01-31,2021-01-31,20,1,N,Charleston,1305 Main St,25301,WV,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,300,2021-01-31,0,2021-01-31,Y,2021-01-31,132,,,,
2021-01-31,11,00001575,00001575,1991-05-14,M,Gladys,One,S,NMN,310001050,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,18141,GS28,8888,64284,511011059,E,10,1811,ISE,1155,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001218,Criminal Investigator,Criminal Investigator,0000,08,40,82425,F,9,F5,KF,2021-01-31,2021-01-31,20,1,N,Alexandria,4541 Main St,22314,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,140,2021-01-31,0,2021-01-31,Y,2021-01-31,F52,,,,
2021-01-31,11,00001576,00001576,1982-03-25,F,Gladys,Two,M,NMN,310001051,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,7449,GS28,8888,45896,182210097,E,08,1811,ISE,1155,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001219,Criminal Investigator,Criminal Investigator,0000,02,40,53345,F,9,T0,KR,2021-01-31,2021-01-31,20,1,N,Indianapolis,4840 Main St,46278,IN,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,160,2021-01-31,0,2021-01-31,Y,2021-01-31,JS5,,,,
2021-01-31,11,00001577,00001577,1998-05-05,M,Gladys,Three,S,NMN,310001052,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,4962,GS28,8888,32286,462450099,E,03,1811,ISE,1155,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001220,Criminal Investigator,Criminal Investigator,0000,05,40,37248,F,9,C0,K,2021-01-31,2021-01-31,20,1,N,Sioux Falls,2629 Main St,57106,SD,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,80,2021-01-31,0,2021-01-31,Y,2021-01-31,G51,,,,
2021-01-31,11,00001578,00001578,1994-01-15,M,Gladys,Five,M,NMN,310001054,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,17339,GS28,8888,61443,110010001,E,09,1811,ISE,1155,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001222,Criminal Investigator,Criminal Investigator,0000,10,40,78782,F,9,D0,KF,2021-01-31,2021-01-31,20,1,N,Washington,4716 Main St,20018,DC,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,65,2021-01-31,0,2021-01-31,Y,2021-01-31,225,,,,
2021-01-31,11,00001579,00001579,1985-05-01,F,Gladys,Four,S,NMN,310001053,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,6077,GS28,8888,39540,310510109,E,05,1811,ISE,1155,0,PA,GL,0000,105.S00I0321.50.11.H40..,90001221,Criminal Investigator,Criminal Investigator,0000,03,40,45617,F,9,C0,KF,2021-01-31,2021-01-31,20,1,N,Kearney,4395 Main St,68845,NE,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,120,2021-01-31,0,2021-01-31,Y,2021-01-31,H43,,,,
2021-01-31,11,00001581,00001581,1985-02-14,M,Slade,One,M,NMN,310001060,Yes,AYM,Direct-Hire Authority,101,Career-Cond Appt,101,0,GS28,8888,135000,425010041,E,16,0343,ISE,1155,0,PA,SL,0000,105.S00I0321.50.11.H40..,90001225,Senior Data Advisor,Senior Data Advisor,0000,00,40,135000,F,9,X0,KR,2021-01-31,2021-01-31,20,1,N,Springfield,2323 Main St,22150,VA,002,US,Office of GSA IT,2021-04-19,Assistant Human Resources Office,Y,1,50,2021-01-31,0,2021-01-31,Y,2021-01-31,113,,,,
