{us:gov:federal:hc}RecordID,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}AnnualAdjPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OfficialPayDate,{us:gov:federal:hc}PPEndDate,{us:gov:federal:hc}PPNum,{us:gov:federal:hc}PPStartDate,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayRate,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}GrossPPAmt,{us:gov:federal:hc}GrossPayDedPPAmt,{us:gov:federal:hc}GrossPayDedYTDAmt,{us:gov:federal:hc}GrossYTDAmt,{us:gov:federal:hc}NetPayPPAmt,{us:gov:federal:hc}NetPayYTDAmt,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}TaxWagesYTDAmt,{us:gov:federal:hc}PayCode,{us:gov:federal:hc}PayPPAmt,{us:gov:federal:hc}PayPPWrkHrs,{us:gov:federal:hc}PayYTDAmt,{us:gov:federal:hc}PayDedCode,{us:gov:federal:hc}PayDedPPAmt,{us:gov:federal:hc}PayDedYTDAmt,{us:gov:federal:hc}GovContCode,{us:gov:federal:hc}GovContPPAmt,{us:gov:federal:hc}GovContYTDAmt,{us:gov:federal:hc}AbsenceCode,{us:gov:federal:hc}LVAccrPPHrs,{us:gov:federal:hc}LVDonaPPHrs,{us:gov:federal:hc}LVPPEndBalHrs,{us:gov:federal:hc}LVUsedPPHrs,{us:gov:federal:hc}LVUsedYTDHrs,{us:gov:federal:hc}LVUseorLoseHrs,{us:gov:federal:hc}LvAnnualAccRate,{us:gov:federal:hc}Remarks,{us:gov:federal:hc}Dependents,{us:gov:federal:hc}AddTaxWithheldAmt,{us:gov:federal:hc}TaxExempt
310001011,EXAVIER,TWO,NMN,02,310001011,GS28,Office of GSA IT,183300,240030003,E,03,2021-04-07,2021-03-27,202107,2021-01-31,EX,87,00,Annapolis,3968 Main St,21401,MD,001,US,7026,2838.44,11353.74,28105,4187.96,16751.86,Yes,28105,1149,7026.4,80,28105.6,269,56,224,41,200,800,876,0,0,0,0,0,0,0,         ,1,,
310001012,EXAVIER,THREE,NMN,02,310001012,GS28,Office of GSA IT,172500,510100013,E,04,2021-04-07,2021-03-27,202107,2021-01-31,EX,82,00,Arlington,3761 Main St,22203,VA,001,US,6612,2867.21,11468.85,26448,3744.79,14979.15,Yes,26448,1149,6612,80,26448,269,290,1163,41,264.48,1057.92,876,0,0,0,0,0,0,0,         ,3,,
310001013,EXAVIER,FOUR,NMN,02,310001013,GS28,Office of GSA IT,116999,426540101,N,14,2021-04-07,2021-03-27,202107,2021-01-31,GS,56,01,Millville,3127 Main St,19967,DE,001,US,4484,1738.65,6954.61,17939,2746.15,10984.59,Yes,17939,1190,884,0,17939.2,269,197,789,41,179.39,717.56,876,4,0,16,0,0,0,4,         ,4,,4
310001014,EXAVIER,FIVE,NMN,02,310001014,GS28,Office of GSA IT,161700,540170081,E,05,2021-04-07,2021-03-27,202107,2021-01-31,EX,77,00,South Charleston,1384 Main St,25309,WV,001,US,6198,2803.07,11212.3,24793,3395.33,13581.3,Yes,24793,1149,6198.4,80,24793.6,269,49.59,198.36,41,247.94,991.76,876,0,0,0,0,0,0,0,         ,,,
310001015,GREYSON,ONE,NMN,02,310001015,GS28,Office of GSA IT,68786,274760053,N,11,2021-04-07,2021-03-27,202107,2021-01-31,GS,32,01,Minneapolis,2591 Main St,55408,MN,001,US,2636,1091.21,4046.95,9795,1545.59,5748.49,Yes,9795,1190,499,0,9632,269,116,423,41,105.47,385.28,876,4,0,16,0,0,0,4,         ,,,
310001016,GREYSON,TWO,NMN,02,310001016,GS28,Office of GSA IT,89427,274760053,E,11,2021-04-07,2021-03-27,202107,2021-01-31,GS,42,10,Arlington,3174 Main St,22203,VA,001,US,3428,1524.8,6557.46,14846,1903.2,8288.62,Yes,14846,1190,649,0,14651.2,269,150,644,41,137.12,586.06,876,4,0,16,0,0,0,4,         ,1,,
310001017,GREYSON,THREE,NMN,02,310001017,GS28,Office of GSA IT,158046,120771011,E,15,2021-04-07,2021-03-27,202107,2021-01-31,GS,75,06,Lakeland,4275 Main St,33803,FL,001,US,6058,2502.24,9163.66,22416,3556.16,13252.42,Yes,22416,1190,1118,0,22416.08,269,266.57,986.31,41,200.88,772.28,876,4,0,16,0,0,0,4,         ,,,
310001018,GREYSON,FOUR,NMN,02,310001018,GS28,Office of GSA IT,87944,274760053,E,12,2021-04-07,2021-03-27,202107,2021-01-31,GS,42,03,Long Beach,4148 Main St,11561,NY,001,US,3551,1946.81,7465.59,13244,1604.39,5778.41,Yes,13244,1190,638,0,13064,269,26.97,104.52,41,134.85,522.56,876,4,0,16,0,0,0,4,         ,2,,2
310001019,GREYSON,FIVE,NMN,02,310001019,GS28,Office of GSA IT,66965,512510059,E,09,2021-04-07,2021-03-27,202107,2021-01-31,GS,32,05,Vienna,1116 Main St,22182,VA,001,US,2567,939.76,4083.85,11048,1627.44,6965.09,Yes,11048,1190,564,0,9084.8,269,20.54,214.9,41,102.69,363.4,876,4,0,16,0,0,0,4,         ,2,,2
310001020,GREYSON,SIX,NMN,02,310001020,GS28,Office of GSA IT,61057,240050510,N,09,2021-04-07,2021-03-27,202107,2021-01-31,GS,29,02,Gambrills,3976 Main St,21054,MD,001,US,1872,722.89,1902.77,4681,1149.75,2778.83,Yes,4681,1190,412,0,4681.6,269,14,37,41,74.91,187.28,876,3,0,6,0,0,0,3,         ,,,
310001021,GREYSON,SEVEN,NMN,02,310001021,GS28,Office of GSA IT,72905,510468550,E,11,2021-04-07,2021-03-27,202107,2021-01-31,GS,34,05,Manassas,2185 Main St.,20109,VA,001,US,2794,1003.76,2469.7,6999,1790.64,4530.26,No,6999,1190,372,0,6986,269,86.63,216.57,41,111.78,279.45,876,4,0,8,0,0,0,4,         ,,,
310001022,GREYSON,EIGHT,NMN,02,310001022,GS28,Office of GSA IT,57968,512510059,E,07,2021-04-07,2021-03-27,202107,2021-01-31,GS,27,07,Washington,1302 Main St,20018,DC,001,US,2222,1015.67,4062.65,8889,1206.73,4826.95,Yes,8889,1190,488,0,8889.6,269,17,71,41,88.9,355.6,876,4,0,16,0,0,0,4,         ,,,
310001023,GREYSON,NINE,NMN,02,310001023,GS28,Office of GSA IT,58748,274760053,N,09,2021-04-07,2021-03-27,202107,2021-01-31,GS,28,02,Sterling,2755 Main St,20166,VA,001,US,2252,740.66,4463.55,12936,1511.34,8473.09,Yes,12936,1190,426,0,9008,269,69.81,279.24,41,90.08,360.32,876,4,0,16,0,0,0,4,         ,1,,
310001024,GREYSON,TEN,NMN,02,310001024,GS28,Office of GSA IT,83628,510468550,E,11,2021-04-07,2021-03-27,202107,2021-01-31,GS,40,10,Kensigton,4429 Main St,20895,MD,001,US,3205,1080.52,5294.06,15967,2125.08,10673.14,Yes,15967,1190,427,0,12822.4,264,224,897,6,45.53,227.71,876,4,0,8,0,8,0,8,         ,,,
310001025,WAG,ONE,NMN,02,310001025,GS28,Office of GSA IT,38735,330430015,N,04,2021-04-07,2021-03-27,202107,2021-01-31,WG,18,01,Brunswick,4921 Main St,40114,ME,001,US,1484,1032.54,4130.16,5939,452.26,1809.04,Yes,5939,1149,1484.8,80,5939.2,269,65.33,261.32,41,59.39,237.56,876,4,0,16,0,0,0,4,         ,2,,
310001026,WAG,TWO,NMN,02,310001026,GS28,Office of GSA IT,30992,411650051,N,01,2021-04-07,2021-03-27,202107,2021-01-31,WG,14,02,Portland,3127 Main St,97239,OR,001,US,1188,755.01,2120.05,4752,432.99,2631.95,Yes,4752,1149,1188,80,4752,374,300,300,41,42.82,171.28,876,4,0,16,0,0,0,4,         ,4,,
310001027,WAG,THREE,NMN,02,310001027,GS28,Office of GSA IT,36001,510040510,N,02,2021-04-07,2021-03-27,202107,2021-01-31,WG,17,03,Manassas,1487 Main St,20109,VA,001,US,1380,553.1,2212.41,5520,826.9,3307.59,Yes,5520,1149,1380,80,5520,269,42.78,171.12,41,55.2,220.8,876,4,0,16,0,0,0,4,         ,1,,
310001028,WAG,FOUR,NMN,02,310001028,GS28,Office of GSA IT,48857,240130031,N,05,2021-04-07,2021-03-27,202107,2021-01-31,WG,23,04,Chevy Chase,4581 Main St,20815,MD,001,US,1872,828.59,3314.39,7491,1044.21,4176.81,Yes,7491,1149,1872.8,80,7491.2,269,82.4,329.6,41,74.91,299.64,876,4,0,16,0,0,0,4,         ,,,
310001029,WAG,FIVE,NMN,02,310001029,GS28,Office of GSA IT,48084,364170061,N,03,2021-04-07,2021-03-27,202107,2021-01-31,WG,23,05,New York,4617 Main St,10028,NY,001,US,1843,846.35,3385.38,7372,996.85,3987.42,Yes,7372,1149,1843.2,80,7372.8,269,14,59,41,73.73,294.92,876,4,0,16,0,0,0,4,         ,1,,
310001031,WILL,TWO,NMN,02,310001031,GS28,Office of GSA IT,37169,122950057,N,04,2021-04-07,2021-03-27,202107,2021-01-31,WL,17,02,Tampa,1576 Main St,33602,FL,001,US,1424,518.03,2072.14,5699,906.77,3627.06,Yes,5699,1149,1424.8,80,5699.2,269,62.69,250.76,41,56.99,227.96,876,4,0,16,0,0,0,4,         ,,,
310001032,WILL,THREE,NMN,02,310001032,GS28,Office of GSA IT,30658,122950057,N,02,2021-04-07,2021-03-27,202107,2021-01-31,WL,14,03,McLean,4271 Main St,22101,VA,001,US,1175,400.09,1600.35,4700,775.11,3100.45,Yes,4700,1149,1175.2,80,4700.8,269,51.71,206.84,41,46.63,186.52,876,4,0,16,0,0,0,4,         ,1,,
310001033,WILL,FOUR,NMN,02,310001033,GS28,Office of GSA IT,27694,121510031,N,01,2021-04-07,2021-03-27,202107,2021-01-31,WL,13,04,Montgomery,4075 Main St,36106,AL,001,US,1061,416.7,1666.77,4246,644.9,2579.63,Yes,4246,1149,1061.6,80,4246.4,269,8,33,41,42.47,169.88,876,4,0,16,0,0,0,4,         ,1,,
310001034,WILL,FIVE,NMN,02,310001034,GS28,Office of GSA IT,55744,511001059,N,05,2021-04-07,2021-03-27,202107,2021-01-31,WL,26,05,Charleston,1780 Main Street,29412,SC,001,US,2136,804.94,3653.85,8547,1331.86,4893.35,Yes,8547,1149,2136.8,80,8547.2,269,17,68,41,68.05,272.2,876,4,0,16,0,0,0,4,         ,3,,
310001035,WES,ONE,NMN,02,310001035,GS28,Office of GSA IT,42366,221690071,N,03,2021-04-07,2021-03-27,202107,2021-01-31,WS,20,01,New Orleans,3644 Main St,70130,LA,001,US,1624,762.01,3048.04,6496,861.99,3447.96,Yes,6496,1149,1624,80,6496,264,113,454,6,21.35,85.4,876,4,0,16,0,0,0,8,         ,,,
310001036,WES,TWO,NMN,02,310001036,GS28,Office of GSA IT,66575,340480005,N,05,2021-04-07,2021-03-27,202107,2021-01-31,WS,31,02,Atlantic City,1827 Main St,84019,NJ,001,US,2041,730.14,2649.86,7145,1311.46,4495.74,No,7145,1149,2041.6,64,7145.6,269,16,57,41,81.67,285.84,876,3,0,11,0,0,0,3,         ,,,
310001037,WES,THREE,NMN,02,310001037,GS28,Office of GSA IT,58666,340480005,N,01,2021-04-07,2021-03-27,202107,2021-01-31,WS,28,03,Newark,4880 Main St,19702,DE,001,US,2248,1114.45,4418.83,8995,1134.35,4576.37,Yes,8995,1149,2248.8,80,8995.2,269,98,395,41,83.73,301.19,876,4,0,16,0,0,0,4,         ,2,,
310001038,WES,FOUR,NMN,02,310001038,GS28,Office of GSA IT,58436,510100013,N,02,2021-04-07,2021-03-27,202107,2021-01-31,WS,28,04,Arlington,2039 Main St,22203,VA,001,US,2240,1183.46,4733.85,8960,1056.54,4226.15,Yes,8960,1149,2240,80,8960,269,69.44,277.76,41,89.6,358.4,876,4,0,16,0,0,0,4,         ,1,,
310001039,WES,FIVE,NMN,02,310001039,GS28,Office of GSA IT,60210,470400065,N,04,2021-04-07,2021-03-27,202107,2021-01-31,WS,28,05,Johnson City,2039 Main St,37601,TN,001,US,2308,969.32,3727.28,9232,1338.68,5504.72,Yes,9232,1149,2308,80,9232,269,18.46,73.84,41,92.32,369.28,876,4,0,16,0,0,0,4,         ,,,
310001040,CARL,ONE,NMN,02,310001040,GS28,Office of GSA IT,183300,180380105,E,01,2021-04-07,2021-03-27,202107,2021-01-31,CA,87,00,Colorado Spring,2781 Main St,80904,CO,001,US,7026,3249.06,12996.19,28105,3777.34,15109.41,Yes,28105,1190,413,0,28105.6,269,309,1236,41,265.4,1061.6,876,4,0,16,0,0,0,4,         ,1,,
310001041,CARL,TWO,NMN,02,310001041,GS28,Office of GSA IT,183300,180380105,E,01,2021-04-07,2021-03-27,202107,2021-01-31,CA,87,00,Houston,2432 Main St,77056,TX,001,US,7026,2539.21,10156.81,28105,4487.19,17948.79,Yes,28105,1190,413,0,28105.6,269,217,871,41,100,400,876,4,0,16,0,0,0,4,         ,2,,2
310001042,CARL,THREE,NMN,02,310001042,GS28,Office of GSA IT,183300,180380105,E,01,2021-04-07,2021-03-27,202107,2021-01-31,CA,87,00,Paducah,4986 Main St,42001,KY,001,US,7026,2833.99,11335.95,28105,4192.41,16769.65,Yes,28105,1190,413,0,28105.6,269,309.16,1236.64,41,255.4,1021.6,876,4,0,16,0,0,0,4,         ,2,,
310001043,CARL,FOUR,NMN,02,310001043,GS28,Office of GSA IT,183300,180380105,E,01,2021-04-07,2021-03-27,202107,2021-01-31,CA,87,00,Kansas City,1759 Main St,64118,MO,001,US,7026,2866.8,11467.2,28105,4159.6,16638.4,Yes,28105,1190,413,0,28105.6,269,56.21,224.84,41,100,400,876,4,0,16,0,0,0,4,         ,,,
310001044,CARL,FIVE,NMN,02,310001044,GS28,Office of GSA IT,183300,180380105,E,01,2021-04-07,2021-03-27,202107,2021-01-31,CA,87,00,Oregon City,3203 Main St,97045,OR,001,US,7026,3102.33,12409.31,28105,3924.07,15696.29,Yes,28105,1190,413,0,28105.6,269,217.82,871.28,41,200,800,876,4,0,16,0,0,0,4,         ,,,
310001045,EDWARD,ONE,NMN,02,310001045,GS28,Office of GSA IT,124990,540480039,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ED,59,00,Charleston,1305 Main St,25301,WV,001,US,4791,1968.35,7879.12,19179,2822.85,11300.65,Yes,19179,1149,4791.2,80,19164.8,269,210.81,843.24,41,191.65,766.6,876,4,0,16,0,0,0,4,         ,,,
310001046,EDWARD,TWO,NMN,02,310001046,GS28,Office of GSA IT,98006,540480039,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ED,46,00,Newark,2621 Main St,19711,DE,001,US,3756,2323.45,9298.01,15038,1433.35,5740.93,Yes,15038,1149,3756.8,80,15027.2,269,116,465,41,150.27,601.08,876,4,0,16,0,0,0,4,         ,1,,
310001047,EDWARD,THREE,NMN,02,310001047,GS28,Office of GSA IT,100990,540480039,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ED,48,00,Columbia,1098 Main St,21045,MD,001,US,3871,1341.38,5365.48,15484,2529.82,10119.32,Yes,15484,1149,3871.2,80,15484.8,269,30,123,41,100,400,876,4,0,16,0,0,0,4,         ,2,,
310001048,EDWARD,FOUR,NMN,02,310001048,GS28,Office of GSA IT,135008,540480039,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ED,64,00,Washington,4902 Main St,20007,DC,001,US,5175,1645.77,6583.05,20700,3529.43,14117.75,Yes,20700,1149,5175.2,80,20700.8,264,362.26,1449.04,6,72.26,289.01,876,4,0,16,0,0,0,8,         ,4,,4
310001049,EDWARD,FIVE,NMN,02,310001049,GS28,Office of GSA IT,89991,540480039,E,00,2021-04-07,2021-03-27,202107,2021-01-31,ED,43,00,London,4443 Main St,40741,KY,001,US,3449,1003.18,4012.69,13798,2446.42,9785.71,No,13798,1149,3449.6,80,13798.4,269,27,110,41,111.75,447,876,4,0,16,0,0,0,4,         ,3,,
310001050,GLADYS,ONE,NMN,02,310001050,GS28,Office of GSA IT,82425,511011059,E,10,2021-04-07,2021-03-27,202107,2021-01-31,GL,39,08,Alexandria,4541 Main St,22314,VA,001,US,3159,1449.31,5797.21,12636,1709.89,6839.59,Yes,12636,1190,695,0,12636.8,269,139,556,41,117.39,469.56,876,4,0,16,0,0,0,4,         ,,,
310001051,GLADYS,TWO,NMN,02,310001051,GS28,Office of GSA IT,53345,182210097,E,08,2021-04-07,2021-03-27,202107,2021-01-31,GL,25,02,Indianapolis,4840 Main St,46278,IN,001,US,2044,1098.41,4393.65,8179,946.39,3785.55,Yes,8179,1190,285,0,8179.2,269,63,253,41,81.79,327.16,876,4,0,16,0,0,0,4,         ,2,,
310001052,GLADYS,THREE,NMN,02,310001052,GS28,Office of GSA IT,37248,462450099,E,03,2021-04-07,2021-03-27,202107,2021-01-31,GL,17,05,Sioux Falls,2629 Main St,57106,SD,001,US,1428,542.18,2168.72,5712,885.82,3543.28,Yes,5712,1190,190,0,5712,269,11,45,41,57.12,228.48,876,4,0,16,0,0,0,4,         ,,,
310001053,GLADYS,FOUR,NMN,02,310001053,GS28,Office of GSA IT,45617,310510109,E,05,2021-04-07,2021-03-27,202107,2021-01-31,GL,21,03,Kearney,4395 Main St,68845,NE,001,US,1748,854.19,3416.76,6995,894.61,3578.44,Yes,6995,1190,232,0,6995.2,269,76,307,41,69.95,279.8,876,4,0,16,0,0,0,4,         ,,,
310001054,GLADYS,FIVE,NMN,02,310001054,GS28,Office of GSA IT,78782,110010001,E,09,2021-04-07,2021-03-27,202107,2021-01-31,GL,37,10,Washington,4716 Main St,20018,DC,001,US,3020,1158.47,4633.9,12080,1861.53,7446.1,Yes,12080,1190,664,0,12080,269,132.88,531.52,41,65,260,876,4,0,16,0,0,0,4,         ,2,,
310001055,GRAHAM,ONE,NMN,02,310001055,GS28,Office of GSA IT,98655,553100079,E,13,2021-04-07,2021-03-27,202107,2021-01-31,GM,47,00,Burlington,3229 Main St,53105,WI,001,US,3781,1453.17,5812.66,15126,2328.43,9313.74,Yes,15126,1190,633,0,15126.4,269,30.25,121,41,151.27,605.08,876,4,0,16,0,0,0,8,         ,1,,1
310001056,GRAHAM,TWO,NMN,02,310001056,GS28,Office of GSA IT,145832,320120003,E,15,2021-04-07,2021-03-27,202107,2021-01-31,GM,69,00,Las Vegas,4148 Main St,89147,NV,001,US,5590,1604.82,6419.31,22361,3985.58,15942.29,Yes,22361,1190,791,0,22361.6,269,44,178,41,223.62,894.48,876,4,0,16,0,0,0,8,         ,2,,2
310001057,GRAHAM,THREE,NMN,02,310001057,GS28,Office of GSA IT,153849,063290075,E,15,2021-04-07,2021-03-27,202107,2021-01-31,GS,73,01,Vienna,1031 Main Street,22182,VA,001,US,5897,2467.41,7654.83,19297,3430.19,11642.31,Yes,19297,1190,1663,0,19186.4,269,47,153,41,50,200,876,4,0,16,0,0,0,8,         ,,,
310001058,GRAHAM,FOUR,NMN,02,310001058,GS28,Office of GSA IT,154410,320120003,E,15,2021-04-07,2021-03-27,202107,2021-01-31,GM,73,00,Oregon City,2556 Main St,97045,OR,001,US,5919,1714.78,6859.1,23676,4204.42,16817.7,No,23676,1190,837,0,23676.8,269,47.35,189.4,41,90,360,876,4,0,16,0,0,0,8,         ,,,
310001059,GRAHAM,FIVE,NMN,02,310001059,GS28,Office of GSA IT,122530,553100079,E,14,2021-04-07,2021-03-27,202107,2021-01-31,GM,58,00,North Bethesda,3028 Main St,20852,MD,001,US,5794,2323.34,7451.13,18238,3471.06,10787.27,Yes,18238,1190,695,0,18238.4,269,37.57,145.89,41,30,120,876,4,0,16,0,0,0,8,         ,2,,2
310001060,SLADE,ONE,NMN,02,310001060,GS28,Office of GSA IT,135000,425010041,E,16,2021-04-07,2021-03-27,202107,2021-01-31,SL,64,00,Springfield,2323 Main St,22150,VA,001,US,5175,1900.81,7603.21,20700,3274.39,13097.59,Yes,20700,1149,5175.2,80,20700.8,269,160,641,41,50,200,876,4,0,16,0,0,0,8,         ,1,,
310001061,SLADE,TWO,NMN,02,310001061,GS28,Office of GSA IT,145000,425010041,E,16,2021-04-07,2021-03-27,202107,2021-01-31,SL,69,00,Mechanicsburg,1038 Main St,17050,PA,001,US,5558,2406.76,9627.85,22233,3151.64,12605.75,Yes,22233,1149,5558.4,80,22233.6,269,244.57,978.28,41,60,240,876,4,0,16,0,0,0,8,         ,,,
310001063,SLADE,FOUR,NMN,02,310001063,GS28,Office of GSA IT,150000,512305059,E,00,2021-04-07,2021-03-27,202107,2021-01-31,SL,71,00,Minneapolis,4602 Main St,55407,MN,001,US,5749,1921.87,7687.51,22998,3827.73,15310.89,Yes,22998,1149,5749.6,80,22998.4,269,46,184,41,50,200,876,4,0,16,0,0,0,8,         ,,,
310001064,SLADE,FIVE,NMN,02,310001064,GS28,Office of GSA IT,180000,512305059,E,00,2021-04-07,2021-03-27,202107,2021-01-31,SL,86,00,Rockville,2411 Main St,20850,MD,001,US,6900,3053.22,12212.88,27600,3846.78,15387.12,Yes,27600,1149,6900,80,27600,269,213,855,41,100,400,876,4,0,16,0,0,0,8,         ,,,
