{us:gov:federal:hc}RecordID,{us:gov:federal:hc}GivenName,{us:gov:federal:hc}LastName,{us:gov:federal:hc}MiddleName,{us:gov:federal:hc}PersonTypeCode,{us:gov:federal:hc}SSN,{us:gov:federal:hc}AgySubElementCode,{us:gov:federal:hc}AgySubdivision,{us:gov:federal:hc}AnnualAdjPay,{us:gov:federal:hc}DutyStationCode,{us:gov:federal:hc}FLSA,{us:gov:federal:hc}Grade,{us:gov:federal:hc}OfficialPayDate,{us:gov:federal:hc}PPEndDate,{us:gov:federal:hc}PPNum,{us:gov:federal:hc}PPStartDate,{us:gov:federal:hc}PayPlan,{us:gov:federal:hc}PayRate,{us:gov:federal:hc}SteporRate,{us:gov:federal:hc}AddrCity,{us:gov:federal:hc}AddrLine,{us:gov:federal:hc}AddrPostalCode,{us:gov:federal:hc}AddrState,{us:gov:federal:hc}AddrType,{us:gov:federal:hc}CountryCode,{us:gov:federal:hc}GrossPPAmt,{us:gov:federal:hc}GrossPayDedPPAmt,{us:gov:federal:hc}GrossPayDedYTDAmt,{us:gov:federal:hc}GrossYTDAmt,{us:gov:federal:hc}NetPayPPAmt,{us:gov:federal:hc}NetPayYTDAmt,{us:gov:federal:hc}W4StandardDeductionIndicator,{us:gov:federal:hc}TaxWagesYTDAmt,{us:gov:federal:hc}PayCode,{us:gov:federal:hc}PayPPAmt,{us:gov:federal:hc}PayPPWrkHrs,{us:gov:federal:hc}PayYTDAmt,{us:gov:federal:hc}PayDedCode,{us:gov:federal:hc}PayDedPPAmt,{us:gov:federal:hc}PayDedYTDAmt,{us:gov:federal:hc}GovContCode,{us:gov:federal:hc}GovContPPAmt,{us:gov:federal:hc}GovContYTDAmt,{us:gov:federal:hc}AbsenceCode,{us:gov:federal:hc}LVAccrPPHrs,{us:gov:federal:hc}LVDonaPPHrs,{us:gov:federal:hc}LVPPEndBalHrs,{us:gov:federal:hc}LVUsedPPHrs,{us:gov:federal:hc}LVUsedYTDHrs,{us:gov:federal:hc}LVUseorLoseHrs,{us:gov:federal:hc}LvAnnualAccRate,{us:gov:federal:hc}Remarks,{us:gov:federal:hc}Dependents,{us:gov:federal:hc}AddTaxWithheldAmt,{us:gov:federal:hc}TaxExempt
310001010,EXAVIER,ONE,NMN,02,310001010,GS28,Office of GSA IT,199300,240030003,E,02,2021-03-24,2021-03-13,202106,2021-01-31,EX,95,00,Acosta,1176 Main St,15501,PA,001,US,7640,3106.04,9318.14,22920,4533.96,13601.86,No,22920,1149,7640,80,22920,269,336.16,1008.48,41,180,540,876,0,0,0,0,0,0,0,         ,2,,
310001011,EXAVIER,TWO,NMN,02,310001011,GS28,Office of GSA IT,183300,240030003,E,03,2021-03-24,2021-03-13,202106,2021-01-31,EX,87,00,Annapolis,3968 Main St,21401,MD,001,US,7026,2838.43,8515.3,21079,4187.97,12563.9,Yes,21079,1149,7026.4,80,21079.2,269,56,168,41,200,600,876,0,0,0,0,0,0,0,         ,1,,
310001012,EXAVIER,THREE,NMN,02,310001012,GS28,Office of GSA IT,172500,510100013,E,04,2021-03-24,2021-03-13,202106,2021-01-31,EX,82,00,Arlington,3761 Main St,22203,VA,001,US,6612,2867.22,8601.64,19836,3744.78,11234.36,Yes,19836,1149,6612,80,19836,269,290,872,41,264.48,793.44,876,0,0,0,0,0,0,0,         ,3,,
310001013,EXAVIER,FOUR,NMN,02,310001013,GS28,Office of GSA IT,116999,426540101,N,14,2021-03-24,2021-03-13,202106,2021-01-31,GS,56,01,Millville,3127 Main St,19967,DE,001,US,4484,1738.65,5215.96,13454,2746.15,8238.44,Yes,13454,1190,884,0,13454.4,269,197,591,41,179.39,538.17,876,4,0,12,0,0,0,4,         ,4,,4
310001014,EXAVIER,FIVE,NMN,02,310001014,GS28,Office of GSA IT,161700,540170081,E,05,2021-03-24,2021-03-13,202106,2021-01-31,EX,77,00,South Charleston,1384 Main St,25309,WV,001,US,6198,2803.08,8409.23,18595,3395.32,10185.97,Yes,18595,1149,6198.4,80,18595.2,269,49.59,148.77,41,247.94,743.82,876,0,0,0,0,0,0,0,         ,,,
310001015,GREYSON,ONE,NMN,02,310001015,GS28,Office of GSA IT,68786,274760053,N,11,2021-03-24,2021-03-13,202106,2021-01-31,GS,32,01,Minneapolis,2591 Main St,55408,MN,001,US,2636,1091.22,2955.74,7158,1545.58,4202.9,Yes,7158,1190,499,0,6995.2,269,116,307,41,105.47,279.81,876,4,0,12,0,0,0,4,         ,,,
310001016,GREYSON,TWO,NMN,02,310001016,GS28,Office of GSA IT,89427,274760053,E,11,2021-03-24,2021-03-13,202106,2021-01-31,GS,42,10,Arlington,3174 Main St,22203,VA,001,US,3428,1524.79,5032.66,11418,1903.21,6385.42,Yes,11418,1190,649,0,11223.2,269,150,493,41,137.12,448.94,876,4,0,12,0,0,0,4,         ,1,,
310001017,GREYSON,THREE,NMN,02,310001017,GS28,Office of GSA IT,158046,120771011,E,15,2021-03-24,2021-03-13,202106,2021-01-31,GS,75,06,Lakeland,4275 Main St,33803,FL,001,US,6058,2502.24,6661.42,16357,3556.16,9696.26,Yes,16357,1190,1118,0,16357.68,269,266.57,719.74,41,200.88,571.4,876,4,0,12,0,0,0,4,         ,,,
310001018,GREYSON,FOUR,NMN,02,310001018,GS28,Office of GSA IT,87944,274760053,E,12,2021-03-24,2021-03-13,202106,2021-01-31,GS,42,03,Long Beach,4148 Main St,11561,NY,001,US,3371,1886.25,5518.78,9692,1484.95,4174.02,Yes,9692,1190,638,0,9692.8,269,26.97,77.55,41,134.85,387.71,876,4,0,12,0,0,0,4,         ,2,,2
310001019,GREYSON,FIVE,NMN,02,310001019,GS28,Office of GSA IT,66965,512510059,E,09,2021-03-24,2021-03-13,202106,2021-01-31,GS,32,05,Vienna,1116 Main St,22182,VA,001,US,2567,939.76,3144.09,8481,1627.44,5337.65,Yes,8481,1190,564,0,6517.6,269,20.54,194.36,41,102.69,260.71,876,4,0,12,0,0,0,4,         ,2,,2
310001020,GREYSON,SIX,NMN,02,310001020,GS28,Office of GSA IT,61057,240050510,N,09,2021-03-24,2021-03-13,202106,2021-01-31,GS,29,02,Gambrills,3976 Main St,21054,MD,001,US,1872,722.9,1179.88,2808,1149.74,1629.08,Yes,2808,1190,412,0,2808.96,269,14,22,41,74.91,112.37,876,3,0,3,0,0,0,3,         ,,,
310001021,GREYSON,SEVEN,NMN,02,310001021,GS28,Office of GSA IT,72905,510468550,E,11,2021-03-24,2021-03-13,202106,2021-01-31,GS,34,05,Manassas,2185 Main St.,20109,VA,001,US,2794,1003.77,1465.94,4205,1790.63,2739.62,No,4205,1190,372,0,4191.6,269,86.63,129.94,41,111.78,167.67,876,4,0,4,0,0,0,4,         ,,,
310001022,GREYSON,EIGHT,NMN,02,310001022,GS28,Office of GSA IT,57968,512510059,E,07,2021-03-24,2021-03-13,202106,2021-01-31,GS,27,07,Washington,1302 Main St,20018,DC,001,US,2222,1015.66,3046.98,6667,1206.74,3620.22,Yes,6667,1190,488,0,6667.2,269,17,53,41,88.9,266.7,876,4,0,12,0,0,0,4,         ,,,
310001023,GREYSON,NINE,NMN,02,310001023,GS28,Office of GSA IT,58748,274760053,N,09,2021-03-24,2021-03-13,202106,2021-01-31,GS,28,02,Sterling,2755 Main St,20166,VA,001,US,2252,740.65,3722.89,10684,1511.35,6961.75,Yes,10684,1190,426,0,6756,269,69.81,209.43,41,90.08,270.24,876,4,0,12,0,0,0,4,         ,1,,
310001024,GREYSON,TEN,NMN,02,310001024,GS28,Office of GSA IT,83628,510468550,E,11,2021-03-24,2021-03-13,202106,2021-01-31,GS,40,10,Kensigton,4429 Main St,20895,MD,001,US,3205,1080.52,4213.54,12761,2125.08,8548.06,Yes,12761,1190,427,0,9616.8,264,224,673,6,45.53,182.18,876,4,0,4,0,8,0,8,         ,,,
310001025,WAG,ONE,NMN,02,310001025,GS28,Office of GSA IT,38735,330430015,N,04,2021-03-24,2021-03-13,202106,2021-01-31,WG,18,01,Brunswick,4921 Main St,40114,ME,001,US,1484,1032.55,3097.62,4454,452.25,1356.78,Yes,4454,1149,1484.8,80,4454.4,269,65.33,195.99,41,59.39,178.17,876,4,0,12,0,0,0,4,         ,2,,
310001026,WAG,TWO,NMN,02,310001026,GS28,Office of GSA IT,30992,411650051,N,01,2021-03-24,2021-03-13,202106,2021-01-31,WG,14,02,Portland,3127 Main St,97239,OR,001,US,1188,455.01,1365.04,3564,732.99,2198.96,Yes,3564,1149,1188,80,3564,269,9,28,41,42.82,128.46,876,4,0,12,0,0,0,4,         ,4,,
310001027,WAG,THREE,NMN,02,310001027,GS28,Office of GSA IT,36001,510040510,N,02,2021-03-24,2021-03-13,202106,2021-01-31,WG,17,03,Manassas,1487 Main St,20109,VA,001,US,1380,553.1,1659.31,4140,826.9,2480.69,Yes,4140,1149,1380,80,4140,269,42.78,128.34,41,55.2,165.6,876,4,0,12,0,0,0,4,         ,1,,
310001028,WAG,FOUR,NMN,02,310001028,GS28,Office of GSA IT,48857,240130031,N,05,2021-03-24,2021-03-13,202106,2021-01-31,WG,23,04,Chevy Chase,4581 Main St,20815,MD,001,US,1872,828.61,2485.8,5618,1044.19,3132.6,Yes,5618,1149,1872.8,80,5618.4,269,82.4,247.2,41,74.91,224.73,876,4,0,12,0,0,0,4,         ,,,
310001029,WAG,FIVE,NMN,02,310001029,GS28,Office of GSA IT,48084,364170061,N,03,2021-03-24,2021-03-13,202106,2021-01-31,WG,23,05,New York,4617 Main St,10028,NY,001,US,1843,846.34,2539.03,5529,996.86,2990.57,Yes,5529,1149,1843.2,80,5529.6,269,14,44,41,73.73,221.19,876,4,0,12,0,0,0,4,         ,1,,
310001030,WILI,ONE,NMN,02,310001030,GS28,Office of GSA IT,29948,221690071,N,03,2021-03-24,2021-03-13,202106,2021-01-31,WL,14,01,New Orleans,3505 Main St,70130,LA,001,US,688,364.33,1283.65,2984,324.47,1701.15,Yes,2984,1149,574,40,2870,269,4,22,,,,876,0,0,8,0,0,0,0,         ,,,
310001031,WILL,TWO,NMN,02,310001031,GS28,Office of GSA IT,37169,122950057,N,04,2021-03-24,2021-03-13,202106,2021-01-31,WL,17,02,Tampa,1576 Main St,33602,FL,001,US,1424,518.04,1554.11,4274,906.76,2720.29,Yes,4274,1149,1424.8,80,4274.4,269,62.69,188.07,41,56.99,170.97,876,4,0,12,0,0,0,4,         ,,,
310001032,WILL,THREE,NMN,02,310001032,GS28,Office of GSA IT,30658,122950057,N,02,2021-03-24,2021-03-13,202106,2021-01-31,WL,14,03,McLean,4271 Main St,22101,VA,001,US,1175,400.09,1200.26,3525,775.11,2325.34,Yes,3525,1149,1175.2,80,3525.6,269,51.71,155.13,41,46.63,139.89,876,4,0,12,0,0,0,4,         ,1,,
310001033,WILL,FOUR,NMN,02,310001033,GS28,Office of GSA IT,27694,121510031,N,01,2021-03-24,2021-03-13,202106,2021-01-31,WL,13,04,Montgomery,4075 Main St,36106,AL,001,US,1061,416.69,1250.07,3184,644.91,1934.73,Yes,3184,1149,1061.6,80,3184.8,269,8,25,41,42.47,127.41,876,4,0,12,0,0,0,4,         ,1,,
310001034,WILL,FIVE,NMN,02,310001034,GS28,Office of GSA IT,55744,511001059,N,05,2021-03-24,2021-03-13,202106,2021-01-31,WL,26,05,Charleston,1780 Main Street,29412,SC,001,US,2136,804.95,2848.91,6410,1331.85,3561.49,Yes,6410,1149,2136.8,80,6410.4,269,17,51,41,68.05,204.15,876,4,0,12,0,0,0,4,         ,3,,
310001035,WES,ONE,NMN,02,310001035,GS28,Office of GSA IT,42366,221690071,N,03,2021-03-24,2021-03-13,202106,2021-01-31,WS,20,01,New Orleans,3644 Main St,70130,LA,001,US,1624,762.01,2286.03,4872,861.99,2585.97,Yes,4872,1149,1624,80,4872,264,113,341,6,21.35,64.05,876,4,0,12,0,0,0,8,         ,,,
310001036,WES,TWO,NMN,02,310001036,GS28,Office of GSA IT,66575,340480005,N,05,2021-03-24,2021-03-13,202106,2021-01-31,WS,31,02,Atlantic City,1827 Main St,84019,NJ,001,US,1531,594.79,1919.72,5104,936.41,3184.28,No,5104,1149,1531.2,48,5104,269,12,40,41,61.25,204.17,876,3,0,8,0,0,0,3,         ,,,
310001037,WES,THREE,NMN,02,310001037,GS28,Office of GSA IT,58666,340480005,N,01,2021-03-24,2021-03-13,202106,2021-01-31,WS,28,03,Newark,4880 Main St,19702,DE,001,US,2248,1114.47,3304.38,6746,1134.33,3442.02,Yes,6746,1149,2248.8,80,6746.4,269,98,296,41,83.73,217.46,876,4,0,12,0,0,0,4,         ,2,,
310001038,WES,FOUR,NMN,02,310001038,GS28,Office of GSA IT,58436,510100013,N,02,2021-03-24,2021-03-13,202106,2021-01-31,WS,28,04,Arlington,2039 Main St,22203,VA,001,US,2240,1183.46,3550.39,6720,1056.54,3169.61,Yes,6720,1149,2240,80,6720,269,69.44,208.32,41,89.6,268.8,876,4,0,12,0,0,0,4,         ,1,,
310001039,WES,FIVE,NMN,02,310001039,GS28,Office of GSA IT,60210,470400065,N,04,2021-03-24,2021-03-13,202106,2021-01-31,WS,28,05,Johnson City,2039 Main St,37601,TN,001,US,2308,969.32,2757.96,6924,1338.68,4166.04,Yes,6924,1149,2308,80,6924,269,18.46,55.38,41,92.32,276.96,876,4,0,12,0,0,0,4,         ,,,
310001040,CARL,ONE,NMN,02,310001040,GS28,Office of GSA IT,183300,180380105,E,01,2021-03-24,2021-03-13,202106,2021-01-31,CA,87,00,Colorado Spring,2781 Main St,80904,CO,001,US,7026,3249.04,9747.13,21079,3777.36,11332.07,Yes,21079,1190,413,0,21079.2,269,309,927,41,265.4,796.2,876,4,0,12,0,0,0,4,         ,1,,
310001041,CARL,TWO,NMN,02,310001041,GS28,Office of GSA IT,183300,180380105,E,01,2021-03-24,2021-03-13,202106,2021-01-31,CA,87,00,Houston,2432 Main St,77056,TX,001,US,7026,2539.2,7617.6,21079,4487.2,13461.6,Yes,21079,1190,413,0,21079.2,269,217,653,41,100,300,876,4,0,12,0,0,0,4,         ,2,,2
310001042,CARL,THREE,NMN,02,310001042,GS28,Office of GSA IT,183300,180380105,E,01,2021-03-24,2021-03-13,202106,2021-01-31,CA,87,00,Paducah,4986 Main St,42001,KY,001,US,7026,2833.99,8501.96,21079,4192.41,12577.24,Yes,21079,1190,413,0,21079.2,269,309.16,927.48,41,255.4,766.2,876,4,0,12,0,0,0,4,         ,2,,
310001043,CARL,FOUR,NMN,02,310001043,GS28,Office of GSA IT,183300,180380105,E,01,2021-03-24,2021-03-13,202106,2021-01-31,CA,87,00,Kansas City,1759 Main St,64118,MO,001,US,7026,2866.8,8600.4,21079,4159.6,12478.8,Yes,21079,1190,413,0,21079.2,269,56.21,168.63,41,100,300,876,4,0,12,0,0,0,4,         ,,,
310001044,CARL,FIVE,NMN,02,310001044,GS28,Office of GSA IT,183300,180380105,E,01,2021-03-24,2021-03-13,202106,2021-01-31,CA,87,00,Oregon City,3203 Main St,97045,OR,001,US,7026,3102.33,9306.98,21079,3924.07,11772.22,Yes,21079,1190,413,0,21079.2,269,217.82,653.46,41,200,600,876,4,0,12,0,0,0,4,         ,,,
310001045,EDWARD,ONE,NMN,02,310001045,GS28,Office of GSA IT,124990,540480039,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ED,59,00,Charleston,1305 Main St,25301,WV,001,US,4806,1974.06,5910.77,14388,2832.11,8477.8,Yes,14388,1149,4791.2,80,14373.6,269,210.81,632.43,41,191.65,574.95,876,4,0,12,0,0,0,4,         ,,,
310001046,EDWARD,TWO,NMN,02,310001046,GS28,Office of GSA IT,98006,540480039,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ED,46,00,Newark,2621 Main St,19711,DE,001,US,3768,2327.65,6974.56,11282,1440.89,4307.58,Yes,11282,1149,3756.8,80,11270.4,269,116,349,41,150.27,450.81,876,4,0,12,0,0,0,4,         ,1,,
310001047,EDWARD,THREE,NMN,02,310001047,GS28,Office of GSA IT,100990,540480039,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ED,48,00,Columbia,1098 Main St,21045,MD,001,US,3871,1341.36,4024.1,11613,2529.84,7589.5,Yes,11613,1149,3871.2,80,11613.6,269,30,92,41,100,300,876,4,0,12,0,0,0,4,         ,2,,
310001048,EDWARD,FOUR,NMN,02,310001048,GS28,Office of GSA IT,135008,540480039,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ED,64,00,Washington,4902 Main St,20007,DC,001,US,5175,1645.76,4937.28,15525,3529.44,10588.32,Yes,15525,1149,5175.2,80,15525.6,264,362.26,1086.78,6,72.25,216.75,876,4,0,12,0,0,0,8,         ,4,,4
310001049,EDWARD,FIVE,NMN,02,310001049,GS28,Office of GSA IT,89991,540480039,E,00,2021-03-24,2021-03-13,202106,2021-01-31,ED,43,00,London,4443 Main St,40741,KY,001,US,3449,1003.17,3009.51,10348,2446.43,7339.29,No,10348,1149,3449.6,80,10348.8,269,27,82,41,111.75,335.25,876,4,0,12,0,0,0,4,         ,3,,
310001050,GLADYS,ONE,NMN,02,310001050,GS28,Office of GSA IT,82425,511011059,E,10,2021-03-24,2021-03-13,202106,2021-01-31,GL,39,08,Alexandria,4541 Main St,22314,VA,001,US,3159,1449.29,4347.9,9477,1709.91,5129.7,Yes,9477,1190,695,0,9477.6,269,139,417,41,117.39,352.17,876,4,0,12,0,0,0,4,         ,,,
310001051,GLADYS,TWO,NMN,02,310001051,GS28,Office of GSA IT,53345,182210097,E,08,2021-03-24,2021-03-13,202106,2021-01-31,GL,25,02,Indianapolis,4840 Main St,46278,IN,001,US,2044,1098.41,3295.24,6134,946.39,2839.16,Yes,6134,1190,285,0,6134.4,269,63,190,41,81.79,245.37,876,4,0,12,0,0,0,4,         ,2,,
310001052,GLADYS,THREE,NMN,02,310001052,GS28,Office of GSA IT,37248,462450099,E,03,2021-03-24,2021-03-13,202106,2021-01-31,GL,17,05,Sioux Falls,2629 Main St,57106,SD,001,US,1428,542.18,1626.54,4284,885.82,2657.46,Yes,4284,1190,190,0,4284,269,11,34,41,57.12,171.36,876,4,0,12,0,0,0,4,         ,,,
310001053,GLADYS,FOUR,NMN,02,310001053,GS28,Office of GSA IT,45617,310510109,E,05,2021-03-24,2021-03-13,202106,2021-01-31,GL,21,03,Kearney,4395 Main St,68845,NE,001,US,1748,854.19,2562.57,5246,894.61,2683.83,Yes,5246,1190,232,0,5246.4,269,76,230,41,69.95,209.85,876,4,0,12,0,0,0,4,         ,,,
310001054,GLADYS,FIVE,NMN,02,310001054,GS28,Office of GSA IT,78782,110010001,E,09,2021-03-24,2021-03-13,202106,2021-01-31,GL,37,10,Washington,4716 Main St,20018,DC,001,US,3020,1158.48,3475.43,9060,1861.52,5584.57,Yes,9060,1190,664,0,9060,269,132.88,398.64,41,65,195,876,4,0,12,0,0,0,4,         ,2,,
310001055,GRAHAM,ONE,NMN,02,310001055,GS28,Office of GSA IT,98655,553100079,E,13,2021-03-24,2021-03-13,202106,2021-01-31,GM,47,00,Burlington,3229 Main St,53105,WI,001,US,3781,1453.16,4359.49,11344,2328.44,6985.31,Yes,11344,1190,633,0,11344.8,269,30.25,90.75,41,151.27,453.81,876,4,0,12,0,0,0,8,         ,1,,1
310001056,GRAHAM,TWO,NMN,02,310001056,GS28,Office of GSA IT,145832,320120003,E,15,2021-03-24,2021-03-13,202106,2021-01-31,GM,69,00,Las Vegas,4148 Main St,89147,NV,001,US,5590,1604.84,4814.49,16771,3985.56,11956.71,Yes,16771,1190,791,0,16771.2,269,44,134,41,223.62,670.86,876,4,0,12,0,0,0,8,         ,2,,2
310001057,GRAHAM,THREE,NMN,02,310001057,GS28,Office of GSA IT,115563,510468550,E,14,2021-03-24,2021-03-13,202106,2021-01-31,GM,55,00,Vienna,1031 Main Street,22182,VA,001,US,4540,1756.76,5187.42,13399,2783.58,8212.12,Yes,13399,1190,590,0,13288.8,269,35,106,41,50,150,876,4,0,12,0,0,0,8,         ,,,
310001058,GRAHAM,FOUR,NMN,02,310001058,GS28,Office of GSA IT,154410,320120003,E,15,2021-03-24,2021-03-13,202106,2021-01-31,GM,73,00,Oregon City,2556 Main St,97045,OR,001,US,5919,1714.77,5144.32,17757,4204.43,12613.28,No,17757,1190,837,0,17757.6,269,47.35,142.05,41,90,270,876,4,0,12,0,0,0,8,         ,,,
310001059,GRAHAM,FIVE,NMN,02,310001059,GS28,Office of GSA IT,108203,553100079,E,13,2021-03-24,2021-03-13,202106,2021-01-31,GM,51,00,North Bethesda,3028 Main St,20852,MD,001,US,4148,1709.27,5127.79,12444,2438.73,7316.21,Yes,12444,1190,695,0,12444,269,33.18,99.54,41,30,90,876,4,0,12,0,0,0,8,         ,2,,2
310001060,SLADE,ONE,NMN,02,310001060,GS28,Office of GSA IT,135000,425010041,E,16,2021-03-24,2021-03-13,202106,2021-01-31,SL,64,00,Springfield,2323 Main St,22150,VA,001,US,5175,1900.8,5702.4,15525,3274.4,9823.2,Yes,15525,1149,5175.2,80,15525.6,269,160,481,41,50,150,876,4,0,12,0,0,0,8,         ,1,,
310001061,SLADE,TWO,NMN,02,310001061,GS28,Office of GSA IT,145000,425010041,E,16,2021-03-24,2021-03-13,202106,2021-01-31,SL,69,00,Mechanicsburg,1038 Main St,17050,PA,001,US,5558,2406.77,7221.09,16675,3151.63,9454.11,Yes,16675,1149,5558.4,80,16675.2,269,244.57,733.71,41,60,180,876,4,0,12,0,0,0,8,         ,,,
310001062,SLADE,THREE,NMN,02,310001062,GS28,Office of GSA IT,140000,274760053,E,17,2021-03-24,2021-03-13,202106,2021-01-31,SL,67,00,Jonesboro,3684 Main St,72401,AR,001,US,2683,936.43,5325.53,13416,1746.77,8090.47,Yes,13416,1149,2683.2,40,13416,269,21,107,,,,876,2,0,10,0,0,0,4,         ,,,
