id,Order number,Date,Plant family,Placement,Phone,Color,Cost
61,2012,9/28/2018,Myrtaceae,92826 Coolidge Road,812-459-9989,Aquamarine,5.75
62,2175,5/22/2018,Asteraceae,14 Esch Point,558-237-4554,Green,7.99
63,1076,7/31/2018,Brassicaceae,0 Mendota Place,739-728-3735,Green,7.84
64,1429,9/9/2018,Scrophulariaceae,340 Eliot Park,168-799-9937,Red,7.41
65,2519,5/31/2018,Lichinaceae,940 Briar Crest Parkway,288-944-9226,Indigo,6.21
66,1479,7/14/2018,Violaceae,9649 Hazelcrest Alley,316-676-1408,Green,9.72
67,1625,10/24/2018,Solanaceae,2815 Green Road,491-710-7310,Puce,6.43
68,1359,7/22/2018,Gesneriaceae,42186 Dwight Drive,972-559-1304,Violet,8.76
69,2952,7/22/2018,Hypnaceae,2 Northport Park,431-548-1887,Aquamarine,6.80
70,2892,6/27/2018,Fabaceae,43 Service Avenue,399-884-1082,Yellow,9.00
71,2426,8/2/2018,Scrophulariaceae,58 Summerview Lane,437-725-5741,Fuscia,9.72
72,1224,6/3/2018,Trypetheliaceae,4 Vernon Terrace,811-832-6342,Goldenrod,8.93
73,1695,8/1/2018,Poaceae,3383 Harbort Street,540-685-6404,Puce,5.94
74,2448,9/15/2018,Gomphillaceae,177 Buell Junction,764-256-2550,Fuscia,5.24
75,2493,10/17/2018,Convolvulaceae,60 Brown Place,571-549-9811,Blue,7.89
76,2849,9/24/2018,Myrtaceae,588 Hayes Way,410-603-2896,Crimson,9.31
77,2399,10/5/2018,Nyctaginaceae,99611 Oneill Junction,251-362-5106,Green,8.66
78,2951,6/11/2018,Betulaceae,28464 Clarendon Road,587-619-8466,Orange,9.28
79,2129,5/27/2018,Boraginaceae,0 Bay Terrace,524-527-8281,Crimson,7.79
80,2652,6/30/2018,Poaceae,020 Bunker Hill Avenue,551-349-8848,Crimson,6.52
81,1993,8/24/2018,Fabaceae,8 David Hill,166-426-1694,Puce,6.05
82,2961,6/12/2018,Poaceae,4586 Swallow Trail,298-285-4430,Pink,5.94
83,1998,9/29/2018,Gleicheniaceae,083 Hintze Circle,251-623-0495,Purple,7.81
84,2721,10/25/2018,Poaceae,5 Meadow Vale Terrace,971-123-4614,Fuscia,6.57
85,2966,7/3/2018,Myrtaceae,40577 Delladonna Street,312-290-6514,Yellow,7.01
86,1121,6/12/2018,Parmeliaceae,39778 Lillian Park,297-716-7846,Maroon,5.56
87,2259,6/17/2018,Verrucariaceae,532 Pankratz Way,610-337-2856,Aquamarine,8.59
88,2856,6/13/2018,Solanaceae,3 Vermont Avenue,964-766-0232,Green,7.71
89,2732,8/18/2018,Poaceae,3686 Laurel Drive,585-702-4223,Pink,9.55
90,2283,9/12/2018,Campanulaceae,6717 Derek Hill,517-116-9970,Indigo,7.50
91,1858,7/22/2018,Hypnaceae,523 Esker Road,967-215-6902,Indigo,9.17
92,1615,5/26/2018,Apiaceae,2480 Hanover Parkway,369-764-0469,Turquoise,7.86
93,2644,5/22/2018,Tiliaceae,7 Namekagon Terrace,328-966-7645,Fuscia,7.93
94,1522,7/27/2018,Lamiaceae,5 Gulseth Pass,414-945-2700,Maroon,8.58
95,2692,6/7/2018,Parmeliaceae,691 Dovetail Way,460-945-3493,Fuscia,5.81
96,2662,8/22/2018,Anacardiaceae,31676 Nancy Center,137-494-8998,Pink,8.14
97,2444,9/10/2018,Poaceae,214 Lakeland Road,536-130-4059,Green,8.81
98,1025,9/22/2018,Apiaceae,1460 Ryan Center,620-994-5019,Goldenrod,5.97
99,2716,7/5/2018,Rosaceae,9 Holy Cross Junction,378-427-1367,Red,7.54
100,1477,6/26/2018,Asteraceae,0592 Dottie Point,858-306-2430,Puce,5.45
101,2041,8/4/2018,Melastomataceae,03 Oak Road,644-365-3919,Goldenrod,6.12
102,1590,7/28/2018,Caryophyllaceae,46 Steensland Alley,952-505-3968,Khaki,9.66
103,1281,7/25/2018,Cyperaceae,94 Chive Parkway,986-507-8783,Green,5.29
104,2234,5/21/2018,Cyperaceae,15 Sherman Place,922-240-5237,Yellow,7.03
105,2534,6/24/2018,Fabaceae,22 Park Meadow Way,512-561-6931,Teal,6.83
106,2846,10/28/2018,Asteraceae,86913 Transport Avenue,358-160-6262,Red,6.12
107,1320,8/13/2018,Chenopodiaceae,9 Dapin Terrace,884-182-0086,Yellow,7.28
108,1172,7/15/2018,Caryophyllaceae,143 Memorial Hill,427-259-5960,Indigo,7.09
109,1442,7/31/2018,Fabaceae,7748 Mcbride Circle,134-791-5585,Violet,5.01
110,1458,6/3/2018,Asteraceae,992 5th Street,422-409-2573,Yellow,7.78
111,1979,7/3/2018,Asteraceae,0 Fieldstone Road,557-379-1317,Orange,9.15
112,1960,7/10/2018,Apiaceae,6 Fairfield Terrace,441-607-3491,Goldenrod,7.58
113,2890,6/21/2018,Onagraceae,9 Forster Court,140-716-4459,Goldenrod,5.72
114,1004,8/26/2018,Hydrophyllaceae,10896 Larry Park,703-568-7860,Indigo,8.87
115,1092,5/25/2018,Fabaceae,06 Gateway Parkway,123-309-4738,Fuscia,8.05
116,2778,6/9/2018,Selaginellaceae,19735 Manufacturers Lane,158-765-2703,Green,8.86
117,2072,10/1/2018,Fumariaceae,90160 John Wall Court,853-984-6520,Khaki,9.80
118,2783,7/9/2018,Dicranaceae,51 Mesta Place,655-236-0874,Turquoise,5.73
119,2864,7/9/2018,Asteraceae,1481 Katie Point,628-147-7744,Pink,8.80
120,1296,8/16/2018,Fabaceae,8 Troy Junction,742-903-5070,Aquamarine,6.18
121,1546,7/14/2018,Scrophulariaceae,576 Monica Terrace,526-551-4761,Maroon,7.28
122,2520,5/5/2018,Myrtaceae,8 Anhalt Trail,540-560-8350,Blue,5.57
123,2906,7/8/2018,Fabaceae,9292 Morning Court,979-723-6777,Teal,6.62
124,2405,6/29/2018,Lecythidaceae,0101 Myrtle Avenue,971-328-3496,Turquoise,9.12
125,2282,10/24/2018,Polygonaceae,56 Eastwood Terrace,989-237-2664,Green,9.34
126,1445,8/8/2018,Brassicaceae,3418 Oakridge Avenue,630-427-5097,Violet,7.82
127,2114,6/25/2018,Rosaceae,12 Northridge Trail,269-878-5944,Blue,5.65
128,1399,9/12/2018,Clusiaceae,691 La Follette Avenue,488-707-1342,Orange,8.53
129,2851,10/8/2018,Verbenaceae,5370 Blue Bill Park Parkway,739-423-0132,Orange,5.48
130,1567,5/11/2018,Onagraceae,2734 Brentwood Plaza,387-974-9147,Red,5.13
131,2627,6/19/2018,Asteraceae,95930 Swallow Court,863-809-8512,Goldenrod,7.79
132,2246,6/28/2018,Saxifragaceae,58 Tennessee Lane,330-427-4315,Maroon,9.67
133,1672,9/25/2018,Bixaceae,1450 Bluejay Pass,508-666-6554,Crimson,9.68
134,2143,7/1/2018,Primulaceae,2408 Washington Lane,805-898-1558,Green,9.14
135,1127,8/4/2018,Lycopodiaceae,77 Sunbrook Hill,935-779-2949,Blue,7.87
136,2358,9/14/2018,Fabaceae,899 Sage Court,311-579-0131,Teal,7.05
137,2835,7/30/2018,Liliaceae,81 Gateway Circle,723-530-6688,Mauv,7.10
138,1032,10/1/2018,Oleaceae,51 Mayer Plaza,681-241-6627,Goldenrod,8.25
139,2541,7/31/2018,Brassicaceae,43 Thierer Plaza,814-924-3021,Teal,7.41
140,1263,8/31/2018,Rutaceae,378 Barnett Trail,814-960-5115,Mauv,7.98
141,1003,6/5/2018,Sematophyllaceae,8 Judy Trail,316-641-5076,Khaki,7.87
142,2221,9/27/2018,Asteraceae,4 Messerschmidt Park,882-793-0062,Puce,6.13
143,2931,7/23/2018,Rubiaceae,96 Village Green Trail,765-988-1932,Teal,6.25
144,1593,8/29/2018,Orchidaceae,4 Meadow Vale Court,175-363-3928,Blue,8.48
145,1200,8/20/2018,Apiaceae,73 Rowland Road,953-649-5912,Violet,7.88
146,1863,9/3/2018,Asteraceae,20 Cardinal Park,603-599-1166,Violet,7.56
147,1150,7/15/2018,Rubiaceae,8260 Maryland Trail,666-780-7191,Blue,9.87
148,2618,8/8/2018,Apiaceae,4115 Service Park,210-850-2018,Maroon,9.16
149,2231,10/13/2018,Poaceae,1529 Hagan Avenue,228-171-7209,Yellow,6.54
150,2462,6/30/2018,Loasaceae,15248 Mosinee Drive,665-649-5744,Blue,5.53
151,1352,6/7/2018,Liliaceae,9 5th Park,850-140-8676,Aquamarine,5.37
152,1084,9/24/2018,Poaceae,91030 Brentwood Street,842-241-3834,Blue,7.03
153,1132,9/16/2018,Salicaceae,651 Forster Road,197-895-3719,Yellow,9.88
154,1537,7/12/2018,Asteraceae,65911 Mariners Cove Crossing,283-338-0257,Green,7.22
155,1102,7/10/2018,Violaceae,3 Briar Crest Lane,410-175-4813,Violet,6.09
156,1900,6/7/2018,Asteraceae,479 Heffernan Way,154-745-1150,Teal,8.75
157,2558,7/12/2018,Fabaceae,86 Sunfield Park,539-444-2166,Puce,9.95
158,1908,6/11/2018,Brassicaceae,37 Messerschmidt Plaza,735-504-6343,Red,7.72
159,1027,6/26/2018,Rutaceae,57 Hallows Trail,734-829-0411,Purple,5.00
160,1780,9/16/2018,Ranunculaceae,58 Green Drive,727-481-4051,Khaki,7.64
161,1019,8/12/2018,Violaceae,23460 Parkside Way,977-738-8000,Crimson,5.30
162,1307,9/26/2018,Asteraceae,6 Warner Hill,390-616-2596,Teal,5.35
163,2543,6/23/2018,Acanthaceae,798 Linden Trail,590-484-7404,Red,6.62
164,2508,8/1/2018,Fabaceae,4197 Laurel Avenue,938-531-0693,Aquamarine,5.29
165,2531,10/2/2018,Parmeliaceae,85929 North Trail,254-601-9272,Fuscia,6.31
166,1587,6/6/2018,Clusiaceae,644 Summer Ridge Way,587-749-7296,Purple,9.66
167,1048,7/30/2018,Polemoniaceae,72 Evergreen Junction,139-534-4295,Turquoise,7.06
168,1686,10/19/2018,Dipsacaceae,10 7th Center,713-492-3817,Red,9.97
169,2478,8/6/2018,Asteraceae,43 Sachs Trail,603-190-9275,Blue,6.28
170,2680,10/6/2018,Calymperaceae,9 Norway Maple Parkway,923-971-3265,Indigo,9.28
171,2536,6/24/2018,Campanulaceae,2926 Burrows Terrace,913-507-4363,Yellow,7.26
172,2058,5/30/2018,Ditrichaceae,239 Thompson Way,882-993-2068,Fuscia,7.50
173,1709,5/5/2018,Salicaceae,752 7th Point,941-342-3237,Fuscia,8.90
174,2998,5/27/2018,Asteraceae,80 Corry Avenue,822-899-3515,Teal,6.84
175,2078,9/16/2018,Bryaceae,8737 Moose Point,135-442-7014,Puce,5.17
176,2735,6/29/2018,Asteraceae,56409 Commercial Place,988-962-6026,Orange,8.86
177,1218,9/13/2018,Bryaceae,6 Ridgeway Street,309-774-4288,Pink,8.81
178,2451,8/25/2018,Asteraceae,09741 Butterfield Avenue,751-940-2955,Yellow,8.37
179,1789,8/22/2018,Fagaceae,88 Moland Drive,179-173-2955,Crimson,8.87
180,1342,10/13/2018,Cyperaceae,1933 Melvin Road,669-515-7166,Blue,6.82
181,2811,5/26/2018,Asteraceae,364 Carey Junction,967-765-2747,Indigo,5.22
182,2543,10/9/2018,Physciaceae,8499 Boyd Hill,578-175-1855,Fuscia,6.28
183,2029,8/18/2018,Myrtaceae,3557 Memorial Court,144-676-7187,Turquoise,6.96
184,2528,5/17/2018,Poaceae,30671 Jenna Way,927-634-4240,Goldenrod,8.44
185,2898,10/10/2018,Brassicaceae,65020 Lyons Plaza,234-829-5100,Khaki,9.66
186,1873,5/9/2018,Brassicaceae,8 Di Loreto Road,277-198-4128,Indigo,9.72
187,2177,8/29/2018,Poaceae,94 Gateway Trail,431-987-4823,Blue,6.26
188,1579,8/19/2018,Chrysotrichaceae,9082 Magdeline Crossing,119-639-7899,Mauv,9.33
189,2305,7/9/2018,Hydrophyllaceae,93287 Canary Park,154-880-2246,Maroon,9.31
190,1214,9/28/2018,Poaceae,64 East Terrace,704-929-4519,Blue,8.08
191,2705,10/15/2018,Droseraceae,749 Maple Wood Trail,450-398-8527,Red,6.63
192,1586,9/12/2018,Caryophyllaceae,2 Mesta Court,144-267-1359,Green,9.14
193,1689,9/7/2018,Urticaceae,0 Service Crossing,675-918-9092,Goldenrod,5.15
194,2879,5/12/2018,Peltigeraceae,244 3rd Point,944-933-7589,Purple,9.44
195,2915,10/25/2018,Passifloraceae,3 Valley Edge Pass,802-197-9132,Aquamarine,5.21
196,1665,10/9/2018,Liliaceae,75786 Dapin Pass,853-407-4557,Violet,5.03
197,2062,10/19/2018,Aspleniaceae,5 Messerschmidt Lane,247-867-8789,Red,8.94
198,1796,7/11/2018,Myrtaceae,75 Hansons Terrace,572-958-2561,Maroon,5.37
199,2265,8/13/2018,Fabaceae,8597 Coleman Hill,938-259-6576,Orange,6.45
200,2440,9/30/2018,Cucurbitaceae,7283 Green Ridge Center,203-345-3535,Yellow,9.20
201,1070,9/30/2018,Sphagnaceae,4 Packers Court,814-999-0685,Goldenrod,8.04
202,1461,7/3/2018,Poaceae,6109 Granby Hill,340-669-3143,Purple,6.37
203,2694,9/1/2018,Fabaceae,7689 Jenna Pass,394-677-1907,Crimson,7.55
204,1475,6/12/2018,Seligeriaceae,8 Meadow Vale Hill,422-455-8083,Maroon,9.02
205,2033,10/14/2018,Verbenaceae,634 Crowley Park,939-848-8324,Blue,9.00
206,2836,7/12/2018,Cucurbitaceae,05890 Esker Pass,437-324-0368,Blue,7.60
207,1210,7/17/2018,Fagaceae,66 Fairview Park,741-149-9931,Maroon,7.35
208,1246,8/25/2018,Malvaceae,294 Mariners Cove Pass,856-761-7231,Khaki,7.12
209,1591,9/6/2018,Fabaceae,8 Bobwhite Junction,913-370-7663,Orange,5.61
210,2140,10/6/2018,Poaceae,85629 Melby Parkway,686-312-3579,Khaki,6.85
211,1056,6/30/2018,Asteraceae,1 Arizona Hill,839-831-8084,Khaki,7.19
212,2039,9/28/2018,Cornaceae,25 Colorado Parkway,191-711-9837,Red,7.99
213,2397,6/24/2018,Orthotrichaceae,21 Columbus Way,205-861-3558,Crimson,7.70
214,2402,8/2/2018,Cactaceae,35444 West Court,232-345-9445,Yellow,6.39
215,2208,8/23/2018,Hydrophyllaceae,8 Village Crossing,617-458-9297,Yellow,6.41
216,1656,6/29/2018,Scrophulariaceae,2245 Fair Oaks Plaza,993-618-1055,Crimson,7.90
217,1505,5/16/2018,Rosaceae,7771 Clarendon Drive,520-370-3130,Green,8.30
218,2898,7/23/2018,Rosaceae,578 Blackbird Alley,757-765-3456,Turquoise,7.80
219,1163,7/24/2018,Scrophulariaceae,8477 Golden Leaf Plaza,688-330-2913,Red,9.86
220,2409,6/22/2018,Pinaceae,28 Declaration Point,378-114-0173,Crimson,5.32
221,1093,9/5/2018,Asteraceae,8846 Maple Wood Plaza,551-807-9479,Mauv,6.87
222,1292,10/29/2018,Lamiaceae,12 Main Street,503-982-1353,Green,6.45
223,1210,10/10/2018,Burmanniaceae,414 Comanche Plaza,706-154-4439,Goldenrod,10.00
224,1002,10/7/2018,Myrsinaceae,1302 Buell Drive,138-778-2730,Teal,8.76
225,2179,8/9/2018,Cyperaceae,19579 Hermina Alley,749-371-9166,Red,9.31
226,2694,9/8/2018,Hydrophyllaceae,0670 Susan Crossing,583-363-3176,Goldenrod,8.84
227,2988,9/1/2018,Cucurbitaceae,9279 Schurz Drive,238-240-9783,Mauv,9.54
228,1265,7/12/2018,Zamiaceae,19 Ridgeway Plaza,352-897-0376,Purple,6.23
229,1138,5/26/2018,Euphorbiaceae,294 Tomscot Point,331-626-8663,Orange,5.43
230,2303,7/18/2018,Primulaceae,27 Beilfuss Court,171-541-7306,Fuscia,7.10
231,1423,6/26/2018,Boraginaceae,786 Westport Trail,330-582-2496,Crimson,8.95
232,2405,9/6/2018,Tropaeolaceae,429 Manufacturers Junction,130-633-5932,Turquoise,9.16
233,1660,7/4/2018,Onagraceae,178 Wayridge Junction,823-376-4787,Mauv,8.82
234,2285,5/10/2018,Graphidaceae,895 Judy Junction,512-440-3571,Yellow,8.72
235,2322,6/21/2018,Pottiaceae,368 Hintze Way,120-340-7637,Aquamarine,5.81
236,2604,6/1/2018,Asclepiadaceae,58 Mesta Drive,463-252-7714,Red,6.97
237,1862,7/3/2018,Lycopodiaceae,9 Portage Center,812-153-1940,Khaki,9.03
238,1144,6/22/2018,Caryocaraceae,7830 Homewood Trail,820-237-9472,Crimson,6.04
239,1618,5/12/2018,Asteraceae,7474 Anthes Plaza,815-498-4898,Teal,7.34
240,2540,9/1/2018,Lichinaceae,520 Mockingbird Lane,283-585-5584,Yellow,6.39
241,2079,7/17/2018,Poaceae,80693 Valley Edge Alley,783-316-6259,Teal,9.58
242,2997,9/3/2018,Campanulaceae,6 Hermina Plaza,797-334-9522,Aquamarine,5.66
243,1358,10/18/2018,Parmeliaceae,8 West Street,724-771-2320,Indigo,6.94
244,2388,8/18/2018,Liliaceae,5 Golf Park,557-700-4291,Purple,7.11
245,1372,8/5/2018,Asteraceae,6 Drewry Hill,357-139-0297,Goldenrod,5.12
246,1712,10/2/2018,Ericaceae,03797 Morrow Crossing,363-398-1571,Crimson,7.54
247,2107,9/15/2018,Bombacaceae,0572 Crescent Oaks Point,670-188-4554,Aquamarine,9.42
248,1898,5/15/2018,Fabaceae,8021 Elka Center,772-761-4476,Goldenrod,5.86
249,2477,6/5/2018,Fabaceae,0099 Susan Drive,939-218-8032,Violet,9.78
250,2842,5/6/2018,Lamiaceae,47 Merrick Street,769-246-5227,Maroon,8.80
251,1417,9/11/2018,Cyperaceae,117 Sommers Crossing,923-222-3242,Khaki,9.65
252,2043,8/12/2018,Apiaceae,455 Continental Point,685-545-4184,Blue,7.67
253,1949,10/21/2018,Collemataceae,98319 Helena Road,488-303-4031,Fuscia,6.59
254,2851,9/16/2018,Uncertain Ascomycota Family,3848 Derek Circle,325-500-7558,Maroon,8.32
255,1012,9/20/2018,Pinaceae,58 Oak Valley Lane,376-862-8343,Blue,8.80
256,1764,7/21/2018,Poaceae,01 New Castle Pass,414-173-5889,Turquoise,8.63
257,2955,5/17/2018,Cyperaceae,3951 Stuart Center,884-630-3133,Khaki,6.39
258,1910,9/25/2018,Piperaceae,0281 Monterey Parkway,407-787-9921,Green,6.19
259,2917,6/23/2018,Sarraceniaceae,3137 Elka Crossing,189-917-9381,Khaki,6.22
260,1267,7/2/2018,Caryophyllaceae,44327 Carpenter Way,696-504-0384,Aquamarine,9.50
261,1627,10/29/2018,Polemoniaceae,4 Orin Lane,851-523-9525,Green,9.11
262,1692,7/2/2018,Cyperaceae,14055 Valley Edge Court,633-441-9565,Red,8.81
263,1515,5/15/2018,Fabaceae,3 Pierstorff Court,382-320-3190,Orange,7.46
264,2107,8/15/2018,Campanulaceae,18 Schlimgen Hill,395-168-6351,Red,5.56
265,1012,10/9/2018,Polemoniaceae,42 Bobwhite Place,520-375-1704,Orange,5.55
266,2052,5/12/2018,Crassulaceae,8605 Veith Crossing,653-788-6817,Goldenrod,9.90
267,2106,5/15/2018,Boraginaceae,7637 Golf View Lane,900-571-4264,Orange,8.96
268,2694,10/26/2018,Myrtaceae,7099 Rowland Street,402-568-2913,Crimson,6.96
269,2211,9/25/2018,Asteraceae,37725 Mitchell Terrace,686-435-1733,Mauv,9.94
270,2307,7/28/2018,Asteraceae,8107 Coolidge Hill,450-726-5302,Puce,9.15
271,2624,9/15/2018,Porpidiaceae,08549 Ohio Place,666-281-6792,Red,8.99
272,2999,6/5/2018,Amaranthaceae,55 Norway Maple Crossing,135-176-8346,Pink,8.22
273,1255,8/16/2018,Asteraceae,87 High Crossing Terrace,902-240-9659,Goldenrod,8.37
274,1323,9/15/2018,Apocynaceae,2413 Blaine Center,110-878-5028,Fuscia,6.58
275,2575,7/10/2018,Asteraceae,27264 Mifflin Plaza,417-340-9011,Blue,9.29
276,1022,8/14/2018,Commelinaceae,84996 Bashford Street,966-851-3307,Blue,8.15
277,2785,8/16/2018,Lamiaceae,9676 Harbort Center,140-104-1759,Indigo,9.42
278,2239,7/26/2018,Fagaceae,76 Scofield Trail,171-358-4975,Mauv,6.05
279,2187,9/24/2018,Verbenaceae,099 Center Street,150-599-8011,Crimson,8.91
280,1873,9/26/2018,Rhamnaceae,65917 Sunbrook Place,987-913-9637,Fuscia,7.85
281,2830,6/28/2018,Pottiaceae,7 Shopko Circle,851-106-3013,Purple,8.70
282,1835,5/22/2018,Ranunculaceae,7077 Monica Avenue,159-406-1656,Pink,6.62
283,2768,7/16/2018,Physciaceae,6 Carey Lane,805-905-8889,Goldenrod,5.78
284,2040,10/22/2018,Rosaceae,665 Dapin Court,615-765-4431,Fuscia,6.33
285,1746,6/27/2018,Brassicaceae,87096 East Point,901-709-5880,Puce,6.79
286,1232,8/9/2018,Campanulaceae,17 Main Junction,267-271-3516,Fuscia,5.98
287,1646,10/12/2018,Apiaceae,552 Roth Junction,658-617-3489,Teal,7.13
288,2498,10/5/2018,Brassicaceae,461 Carberry Court,797-942-7006,Aquamarine,7.71
289,1001,9/29/2018,Iridaceae,10 Service Crossing,277-950-7265,Aquamarine,9.13
290,2572,9/22/2018,Araceae,75 Sauthoff Pass,868-471-5730,Goldenrod,9.36
291,1812,5/18/2018,Convolvulaceae,3515 Ruskin Street,817-256-2813,Purple,6.89
292,1380,9/3/2018,Poaceae,3 Hoard Terrace,712-885-1175,Orange,6.19
293,1870,8/8/2018,Commelinaceae,112 Heath Court,450-115-2454,Pink,5.80
294,2900,5/22/2018,Salicaceae,8 Anderson Park,303-316-8528,Turquoise,9.75
295,2494,9/27/2018,Parmeliaceae,786 Becker Lane,464-100-6800,Turquoise,9.32
296,1151,6/18/2018,Fabaceae,54 Grayhawk Street,827-633-6737,Turquoise,8.18
297,2644,7/8/2018,Poaceae,27319 Sachs Center,371-139-4038,Violet,5.32
298,1236,10/8/2018,Caryophyllaceae,4366 Armistice Point,199-463-7301,Fuscia,8.02
299,2940,10/18/2018,Zingiberaceae,44 Riverside Way,452-586-6887,Aquamarine,7.83
300,2147,5/12/2018,Fabaceae,2350 Grim Pass,713-743-0865,Khaki,5.68
301,2474,9/10/2018,Fagaceae,2058 Derek Crossing,284-213-0945,Khaki,5.64
302,2245,9/23/2018,Plantaginaceae,3 Artisan Court,434-284-2312,Goldenrod,6.47
